,title,teacher,level,about_course,lessons,You'll learn,You'll build,Prerequisites,about_teacher,Why this course rocks
17,Build a color tool in vanilla JavaScript,James Q Quick,Course level: Intermediate,"Build a cool color lighten/darken tool from scratch and sharpen up your HTML, CSS and vanilla JavaScript skills along the way! 
","{'Build a color tool in vanilla JavaScript': ['1. Course Intro', '2. Create the Base Layout', '3. Create the Base Styling', '4. Check for Valid Hex Color in JavaScript', '5. Display Color From User Hex Input', '6. Convert Hex Color to RGB', '7. Convert RGB Color To Hex - Challenge Requirements', '8. Convert RGB To Hex - Challenge Solution', '9. Display Percentage from Slider', '10. Alter Color By Percentage', '11. Ensure Hex Values Stay Between 0 and 255', '12. Alter Color Based On User Input', '13. Create Custom Toggle Button Layout', '14. Create Custom Toggle Button Styling', '15. Create Custom Toggle Functionality in JavaScript', '16. Alter Color Based on Lighten/Darken Toggle State', '17. Input Reset Functionality - Challenge Requirements', '18. Add Color Reset Functionality - Challenge Solution', '19. Course Outro', '20. Congratulations on completing Build a color tool in vanilla JavaScript! 🎉']}","['Check for a valid hex color', 'Convert hex to RGB', 'Display percentage from slider', 'Alter color by percentage', 'Create a toggle', 'Reset functionality', 'parseInt', 'textContent', 'Math.min and Math.max', 'HTML DOM style Property']",[],"['Before taking this course, you should have a solid understanding of HTML, CSS and JavaScript.']","Web Developer, Speaker, and Teacher. ","['This course hones your HTML, CSS and vanilla JavaScript skills by building a color lighten/darken tool. \nThroughout the 19 lessons, you’ll solve several interactive challenges which will test your coding knowledge and let you in on a few handy hints along the way. ', 'You’ll build out the skeleton HTML, style it with CSS and add a range of interactive features using vanilla JS - no frameworks required! ', 'By the end of the course, you’ll have built a large project which will look great on your portfolio or pushed to your Github profile - so dive right in and get ready for a colour-switching fun rollercoaster! ', 'Join the community!', 'Learning alone can be lonely. Click here to join our Discord server and connect with other Scrimba learners!']"
18,Learn Bulma CSS for free,Zaydek Gualtieri,Course level: Intermediate,This tutorial teaches you Bulma CSS through 13 interactive screencasts. In less than an hour you'll have built three websites with the popular CSS framework.,"{'Learn Bulma CSS for free': ['1. Intro to the Bulma CSS course', '2. Heroes in Bulma CSS', '3. Frontend Career Path', '4. Columns in Bulma CSS', '5. Colors in Bulma CSS', '6. Media  in Bulma CSS', '7. Bulma and CSS Grid', '8. Headers in Bulma CSS', '9. Images in Bulma CSS', '10. Content in Bulma CSS', '11. Backgrounds in Bulma CSS', '12. Navbars in Bulma CSS', '13. Creating a header for our launch page', '14. A Responsive Grid in Bulma CSS', '15. Congratulations on Completing Learn Bulma CSS for Free! ✨']}","['Bulma CSS Introduction', 'Bulma classes', 'Modifiers and helpers', 'Color helpers', 'Padding', 'Width', 'Center content', 'Titles', 'Columns', 'Container', 'Hero', 'Section', 'Navbar', 'Notifications', 'Bulma and CSS Grid']",[],"['Before taking this course, you should have a basic understanding of HTML and CSS. Here’s our suggested resource to get you up to speed.']","Zaydek is a self-taught designer and programmer. He's created three popular Scrimba courses, all of which inspires the students to be creative with the tools they learn. Zaydek is especially interested in distributed self-education.","['Bulma is the brainchild of CSS Guru Jeremy Thomas ', '@jgthms', "". \nIt's a modern CSS framework based on Flexbox. \nThe framework makes scaffolding and designing websites a breeze with best-in-class documentation and well-designed, intuitive components and modifiers. "", ""Bulma is great not just for building but learning best HTML and CSS practices, too! It's like having "", '@jgthms', ' there the whole time. ', ""In this course, you'll learn to create three beautiful, responsive websites with Bulma in less than an hour."", ""And remember, this isn't a regular video course, it's a Scrimba course! This means you can "", 'interact', ' with the code inside the tutorials whenever you want, which makes learning much more fun!', 'Have a question, comment, or feedback? Feel free to reach out to the course creator Zaydek at Twitter: ', '@username_zaydek', '.', 'Join the Scrimba community chat', 'Learning alone can be lonely. ', 'Click here', ' to join our Discord server and connect with other Scrimba learners!']"
19,Learn Markdown,Dylan C. Israel,Course level: Beginner,Start your own blog and learn all the essential Markdown tips and tricks at the same time.,"{'Learn Markdown': ['1. Introduction', '2. Course Overview', '3. Setup', '4. Frontend Career Path', '5. Paragraphs and Headings', '6. Challenge: Starting our Article', '7. Challenge: Introductory Paragraph', '8. Bold, Italic and Strikethrough', '9. Challenge: 2nd Paragraph', '10. Blockquotes & Horizontal Rules', '11. Challenge: Organization and Quote', '12. Lists', '13. Challenge: 3 Pieces of Information', '14. Code Blocks', '15. Images', '16. Challenge: Spice It Up', '17. Links and Emails', '18. Challenge: About Yourself', '19. Extended Syntax: Introduction', '20. Extended Syntax: Tables', '21. Extended Syntax Task Lists', '22. Extended Syntax: Automatic URLs', '23. Final Challenge', '24. Final Challenge Part 2', ""25. What's Next?""]}","['What is Markdown?', 'Headings', 'Paragraphs', 'Bold, italic & strikethrough', 'Blockquotes', 'Horizontal rules', 'Lists', 'Code blocks', 'Links and emails', 'Extended tables', 'Tables', 'Task lists']",[],"[""You'll benefit most from this course if you have a solid understanding of HTML. If you're not there yet, check out our free course.""]",I teach tens of thousands of students monthly about web development.,"['Markdown', ' is a lightweight markup language for creating formatted text using a plain-text editor. ', 'It is used for shorthand HTML for several types of applications including README files, blogs, forums, documentation, messaging and more!  ', '  Knowledge of Markdown is a vital skill for any developer, but the good news is that it is relatively easy to learn, especially when you’re studying with Scrimba’s interactive platform. ', '  In this short but sweet course, you’ll learn the key features of Markdown which will help you to get started in your coding career. Throughout 24 interactive screencasts, you’ll learn how to create headings, paragraphs, text styling, lists, blockquotes, horizontal rules, code blocks, links, emails, tables and more! ', '  Best of all, you’ll learn by doing by ', 'creating your own blog', ' on the popular tech blogging site dev.to. Having an online presence is a fantastic way to take your coding career to the next level and document your progress, so why not get started today? ', '  Good luck and happy coding! ']"
20,Learn Regular Expressions,freeCodeCamp,Course level: Intermediate,This tutorial teaches you regex in JavaScript through 34 screencasts. It explains regular expressions step-by-step from basic to advanced so that you don't fall off along the way. This ensures that you finally learn regex once and for all.,"{'Learn Regular Expressions': ['1. Regular Expressions Intro', '2. Using the Test Method ', '3. Frontend Career Path', '4. Match Literal Strings', '5. Match a Literal String with Different Possibilities', '6. Ignore Case While Matching', '7. Extract Matches', '8. Find More Than the First Match', '9. Match Anything with Wildcard Period', '10. Match Single Character with Multiple Possibilities', '11. Match Letters of the Alphabet', '12. Match Numbers and Letters of the Alphabet', '13. Match Characters that Occur One or More Times', '14. Match Characters that Occur One or More Times', '15. Match Characters that Occur Zero or More Times', '16. Find Characters with Lazy Matching', '17. Find One or More Criminals in a Hunt', '18. Match Beginning String Patterns', '19. Match Ending String Patterns', '20. Match All Letters and Numbers', '21. Match Everything But Letters and Numbers', '22. Match All Numbers', '23. Match All Non-Numbers', '24. Restrict Possible Usernames', '25. Match Whitespace', '26. Match Non-Whitespace Characters', '27. Specify Upper and Lower Number of Matches', '28. Specify Only the Lower Number of Matches', '29. Specify Exact Number of Matches', '30. Check for All or None', '31. Positive and Negative Lookahead', '32. Reuse Patterns Using Capture Groups', '33. Use Capture Groups to Search and Replace', '34. Remove Whitespace from Start and End', '35. Regular Expressions Outro']}","['Regex basics', 'Test matches', 'Literal strings', 'Case insensitive', 'Single character', 'Match letters', 'Match numbers', 'Single match', 'Multiple matches', 'Wildcards', 'Lazy matching', 'Begins with match', 'Ends with match', 'Inclusive match', 'Exclusive match', 'Whitespace match', 'Lookahead', 'Capture groups']",[],"['Before taking this course, you should have a basic understanding of JavaScript. Here’s our suggested resource to get you up to speed.']","freeCodeCamp is a community that helps you learn to code, then get experience by contributing to open source projects used by nonprofits. Their Scrimba sceencasts are recorded by their brilliant instructor Beau Carnes and are based on their core curriculum.","[""This course features freeCodeCamp's Regular Expressions curriculum recorded as Scrimba screencasts. It introduces you to regular expressions (also called regex or regexp) through the lens of JavaScript. And as this is a Scrimba course, you'll be able to experiment with the expressions whenever you want. This is crucial when learning regex, as there are a lot of details to remember. Interacting with the code makes the knowledge stick, as opposed to simply watching normal video tutorials."", 'About freeCodeCamp', 'The lectures are recorded by ', 'Beau Carnes.', "" Beau is the man behind some of the most popular courses at freeCodeCamp's YouTube channel, so you'll be in good hands. He explains concepts clearly and thoroughly, but without wasting your time."", 'Join the Scrimba community chat', 'Learning alone can be lonely. ', 'Click here', ' to join our Discord server and connect with other Scrimba learners!']"
21,React interview questions,Cassidy Williams,Course level: Intermediate,"Learn to ace a React Interview with a Principal Developer Experience Engineer as your guide! In 40 minutes, you’ll cover topics such as the Virtual DOM, JSX, Props, Context, Refs, Effects, the Lifecycle and more! By then end, you’ll be ready to tackle your technical interview with style.","{'React interview questions': ['1. React Interview Questions Course Introduction', '2. The Virtual DOM', '3. React Limitations', '4. JSX', '5. Props', '6. State and Lifecycle', '7. Effects', '8. Refs', '9. Context', '10. Miscellaneous (but important!) Questions', '11. React Interview Questions Course Conclusion']}","['The Virtual DOM', 'React limitations', 'JSX', 'props', 'State', 'Lifecycle', 'Spread & Rest Operators', 'Effects', 'Refs', 'Context', 'Miscellaneous but important questions', 'Resume tips', 'Job search strategy']",[],"['Before taking this course, you should have a solid understanding of JavaScript and React.']",Making memes and dreams... and software,"['If you want to test out your React skills, fill in any gaps in your knowledge and learn to nail that React interview, this is the course for you.    In just 40 minutes, our popular teacher Cassidy Williams introduces some of the most common React interview questions and guides you through the best answers, helping you to knock the socks off your future interviewers.     This course is perfect for anyone who wants a job working with React and already has a decent grasp on the subject.    That said, you could also use the course to check whether there are any React concepts you need to brush up on.      In this course, you’ll test your React skills, go over some hands-on interview questions and have fun!    So what are you waiting for? Let the interview practice begin!   This course is also a part of our hugely popular ', 'Front-End Developer Career Path', '.']"
22,Learn CSS Grid for free,Per Harald Borgen,Course level: Intermediate,"This tutorial teaches you CSS Grid through 14 interactive screencasts. You'll learn all the key concepts while building three awesome layouts: a website, an image grid, and an article. Plus, you'll learn how to combine CSS Grid with Flexbox.","{'Learn CSS Grid for free': ['1. Intro to the CSS Grid course', '2. Your first grid - CSS Grid tutorial', '3. Frontend Career Path', '4. Fraction units and repeat - CSS Grid tutorial', '5. Positioning items - CSS Grid tutorial', '6. Template areas - CSS Grid tutorial', '7. Auto-fit and minmax - CSS Grid tutorial', '8. Implicit rows - CSS Grid tutorial', '9. An awesome image grid - CSS Grid tutorial', '10. Named Lines - CSS Grid tutorial', '11. justify-content and align-content  - CSS Grid tutorial', '12. justify-items and align-items - CSS Grid tutorial', '13. Auto-fit vs. auto-fill - CSS Grid tutorial', '14. Creating an article layout - CSS Grid tutorial', '15. Grid vs. Flexbox - CSS Grid tutorial', '16. Congrats on completing the CSS Grid course!']}","['CSS Grid fundamentals', 'Starting with grid', 'Responsive grids', 'Fraction units', 'Repeat', 'Positioning items', 'Template areas', 'Auto-fit', 'minmax', 'Implicit rows', 'Named lines', 'justify-items', 'align-items', 'auto-fit vs auto-fill', 'Create an article layout', 'An awesome image grid']",[],"['Before taking this course, you should have a basic understanding of HTML and CSS. Here’s our suggested resource to get you up to speed.']","Front-end developer and co-founder of Scrimba. Per loves helping other people learn new skills so that they can improve their lives. He makes his tutorials as simple as humanly possible, and focus on getting the students to the point where they can start building projects on their own.","['The CSS Grid module makes it easier than ever to create website layouts. It simplifies both your HTML and CSS, while simultaneously giving you more control over your layout. You can use it without any framework, as the CSS Grid module is native to the browser.', ""So if you want to stay up-to-date as a front end developer, you'll need to learn how to use CSS Grid! Luckily though, it's not hard. And this course teaches you all you need to know. For free, of course."", 'Course content', 'This course contains three sections. The first two will teach you the core concepts you need to know to get started. Together, we’ll build both a website layout and a super cool image grid.', 'In the bonus section, you’ll learn how to create article layouts with CSS Grid plus some more advanced concepts.', 'What you’ll learn', '\n', 'CSS Grid fundamentals', '\n', 'Your first grid', '\n', 'Responsive grids', '\n', 'How to create pages, image grids, and articles', '\n', 'How to quickly prototype websites', '\n', 'How to use Grid with Flexbox', '\n', 'Advanced concepts', '\n', '\n', ""You'll be proficient with the following parts of CSS Grid when you complete the course:"", '\n', 'display: grid', ', ', 'grid-gap', '\n', 'grid-template', ', ', 'grid-template-colums', ', ', 'grid-template-rows', '\n', 'fr', ', ', 'repeat', ', ', 'minmax', ', ', 'auto-fit', ', ', 'auto-fill', '\n', 'grid-auto-rows', '\n', 'grid-colum', ', ', 'grid-row', '\n', 'grid-template-areas', ' and ', 'grid-area', '\n', 'justify-items', ', ', 'align-items', '\n', 'justify-self', ', ', 'align-self', '\n', '\n', ""And remember, this isn't a regular video course, it's a Scrimba course! Which means you can "", 'interact', ' with the code inside the tutorials whenever you want. This makes learning a lot more fun!', 'Feel free to reach out to the instructor ', 'Per Harald Borgen on Twitter', ' if you have feedback or questions.', 'Join the Scrimba community chat', 'Learning alone can be lonely. ', 'Click here', ' to join our Discord server and connect with other Scrimba learners!']"
23,Introduction to clean code,Dylan C. Israel,Course level: Intermediate,"Learning clean code is one of the best career investments you can make. By spending one hour to learn the fundamentals, you get to reap the benefits across all your future code bases. It's 10x the payoff for the effort.","{'Introduction to clean code': ['1. Clean Code: Introduction', '2. Introduction to Linters', '3. Clean Variables Part 1', '4. Frontend Career Path', '5. Clean Variables Part 2', '6. Clean Variables Challenge', '7. Clean Variables & Clean Properties (Challenge)', '8. Clean Variables: Magic Numbers 🧙', '9. Clean Variables: Magic Numbers (Challenge) 🧙', '10. Clean Organization: Spacing and Returns', '11. Clean Functions: Introduction', '12. Clean Functions: Limit Parameters', '13. Clean Functions: Naming & Standardization', '14. Clean Functions: Naming and Standardization (Challenge)', '15. Clean Functions:  Encapsulating Conditionals', '16. Clean Functions: Encapsulating Conditionals (Challenge)', '17. Clean Comments: Introduction', '18. Avoiding Comments with Refactoring', '19. Avoiding Comments with Git', '20. Clean Comments: Avoid Visual Markers', '21. Clean Comments: Avoid Visual Markers (Challenge)', '22. What is a good comment?', '23. Good Comments (Challenge)', '24. Clean Code: Final Challenge 🤺', '25. Clean Code: Whats Next? 🤔']}","['Intro to Linters', 'Clean Variables', 'Clean Properties', 'How to avoid magic numbers', 'Clean Functions', 'Limit paramenters', 'Naming & Standardization', 'Encapsulating Conditionals', 'Minimizing comments with Refactoring', 'Minimizing comments with Git', 'Avoiding visual markers', 'Good Comments']",[],"['Before taking this course, you should have a solid understanding of JavaScript.']",I teach tens of thousands of students monthly about web development.,"['In this course, professional developer and coding Youtuber Dylan Israel takes you through some top tips to help you polish your code, making it more professional, easier to read and understand, and less prone to bugs.   ', 'In just one hour, you’ll cover how to improve your variables, functions, comments, and more! By the end, you’ll have the knowledge to improve your existing and future projects and ensure that your code is as searchable, readable and understandable as possible. ']"
24,JavaScript deep dive,Reed Barger,Course level: Intermediate,"This course will teach you advanced JavaScript from the ground up. It features a systematic walk-through of the most important concepts of the language, and teaches you to build a Google Keep clone and a Hacker News clone in vanilla JavaScript.","{'Getting started': ['1. Welcome to the course!', '2. Start Using JavaScript'], 'Variables & Strings': ['1. Module Intro: Variables & Strings', '2. Variable Basics with var', '3. Challenge: Variable Basics', '4. Better Code with Strict Mode', '5. Why Use let & const Over var', '6. Challenge: const & let', '7. How Const Improves Your Code', '8. Why Block Scoping Matters', '9. How Template Literals Improve Strings', '10. Challenge: Template Literals', '11. How Variables Should Be Named'], 'Types & Conditionals': ['1. Module Intro: Types & Conditionals', '2. Conditionally Run JavaScript Code', '3. Challenge: Your First Conditional', '4. Types and How They Can Be Changed', '5. Challenge: Types', '6. How to Shorten Conditionals with Ternaries', '7. Challenge: Ternaries', '8. Even Shorter Conditionals with Short-Circuiting', '9. Challenge: Short-Circuiting'], 'Functions': ['1. Module Intro: Functions', '2. Why We Need Functions', '3. Challenge: Your First Function', '4. What is a Closure and Why it Matters', '5. Challenge: Count Downwards Using Closure', '6. Better Functions with Default Parameters', '7. Shorter Functions with Arrow Functions', '8. Challenge: Arrow Functions', '9. Partial Application for Single-Responsibility Functions', '10. How Functions Should Be Named'], 'Objects & Maps': ['1. Module Intro: Objects & Maps', '2. Use Objects for Managing Key-Value Pairs', '3. Challenge: Your First Object', '4. Understand Primitive vs Object Types', '5. Get and Modify Object Data', '6. Easy Property Access with Destructuring', '7. Challenge: Object Destructuring', '8. Merge Objects with Object Spread', ""9. How Maps Can Do What Objects Can't"", '10. Challenge: Your First Map', '11. Improve Methods with Arrow Functions'], 'Arrays & Sets': ['1. Module Intro: Arrays', '2. Build Flexible Collections with Arrays', '3. Challenge: Your First Array', '4. Check Element Existence in Arrays', '5. Challenge: .some and .every', '6. Perform Actions on All Elements', '7. Get Subsets of Arrays', '8. Transform Arrays with .reduce()', '9. Challenge: Transform Arrays with .reduce()', '10. Understand the Power of .reduce()', '11. Avoid Mutations with Array Spread ', '12. Mold Arrays with the Spread Operator', '13. More Flexible Arrays with Destructuring', '14. Challenge: Array Destructuring', '15. Turn Objects into Flexible Arrays', '16. Get Unique Sets of Data', '17. Use New, Immutable Array Features'], 'Classes': ['1. Module Intro: Classes', '2. What Are Constructor Functions?', '3. Challenge: Your First Constructor Function', '4. Understand the Prototype Chain', '5. Easy Prototypal Inheritance with Classes', '6. Challenge: Your First Class', '7. Share Class Features with Extends', '8. How To Get, Set and Simplify Classes', '9. Fix Context Problems with .bind()'], 'DOM': ['1. Module Intro: DOM', '2. What is the DOM?', '3. Get Single and Multiple Elements', '4. Creating and Modifying HTML Elements', '5. Challenge: Creating and Modifying HTML Elements', '6. Dynamically Add CSS Styles', '7. Understand and Work with Events', '8. Challenge: Events'], 'Async JavaScript': ['1. Module Intro: Async JavaScript', '2. The Problem with Callbacks', '3. Fix Callback Hell with Promises', '4. Make Network Requests with fetch()', '5. Challenge: Fetch API', '6. Dead-Simple Promises with async-await', '7. Catch Errors with async-await', '8. Challenge: async-await'], 'Google Keep clone': ['1. Module Intro: Google Keep Clone', '2. Google Keep - Project Setup', '3. Google Keep - Expanding and Closing Notes', '4. Google Keep - Storing Notes in the App', '5. Google Keep - Displaying Notes in the App', '6. Google Keep - Improving Functionality', '7. Google Keep - Editing Notes', '8. Google Keep - Changing Note Color', '9. Google Keep - Deleting Notes', '10. Google Keep - Storing Notes in the Browser'], 'Essential concepts': ['1. Module Intro: Essential Concepts', '2. Share App Code with Modules', '3. Challenge: Modules', ""4. Know What 'this' is at Any Time"", '5. Understand State and State Management', '6. How Reducers Help Manage State', '7. Avoid Imperative, Write Declarative Code'], 'Hacker News clone': ['1. Module Intro: Hacker News Clone', '2. Hacker News - Creating HTML and CSS', '3.  Hacker News - Adding Pages', '4. Hacker News - Requesting Data from API Endpoint', '5. Hacker News - Formatting Stories', '6. Hacker News - Creating Separate Pages for Stories', '7. Hacker News - Formatting Comments', '8. Hacker News - Building a Store', '9. Hacker News - Toggling Stories in and out of Favorites', '10. Hacker News - Building the Favorites Page']}","['Variables / Strings', 'Conditionals', 'Functions', 'Partial application', 'Currying', 'Objects', 'Set', 'Arrays', 'Classes', 'Constructor functions', 'Control flow', 'DOM', 'Async JavaScript', 'Immutability', 'Closures', 'this', 'Loops', 'state', 'Side effects', 'High-order functions', 'Cutting-edge JavaScript', 'And much more!']","['Hacker News clone', 'Google Keep clone']","[""Before taking this course, we recommend that you have a basic understanding of JavaScript. While Reed teaches the language from the bottom up, it will help you if you have poked around with the language a bit, so that everything isn't totally new for you.""]","Hi, I’m Reed Barger, a professional JavaScript developer who has helped over 15,000 developers level up their JavaScript skills in the last year alone and I will do the same for you. I know what it takes to be a JavaScript expert and I’ve packed it all right here into this course.","['There’s no question— if you want to be a developer, the language to learn is JavaScript. It’s the engine of the web and if you know JavaScript, you can make software usable by everybody on any possible device.', 'However, navigating the JavaScript ecosystem today is harder than ever before. What exactly do you need to learn?  And how do you learn it all? Where do you even begin?', 'Welcome to ""JavaScript deep dive"", a course based around you and your goals—designed to teach you JavaScript in the best way possible, so you can build amazing apps, master the language, and transform your career.', 'Here’s something you may not know—it’s not good enough to just learn a framework like React; in fact, there is nothing that will supercharge your career more than learning JavaScript itself.', 'This course does just that—you’ll learn next-level JavaScript from the beginning. It’s going to teach you exactly the JavaScript you need, and leads directly into any JavaScript library or framework you want to learn (like React, Angular, Vue).', 'You’ll learn concepts essential to making any serious app or program, break through the hard parts of the language, all while working through fun coding challenges to practice all of these concepts. And to top it off, you’ll solidify your learning by building apps, fun, practical, real-world apps like the ones you use daily.']"
25,Frontend interview tips,Dylan C. Israel,Course level: Intermediate,Learn how to nail that frontend interview with an experienced developer who has been on both sides of the interview table!,"{'Frontend interview tips': ['1. Course Introduction', '2. Falsy Values', '3. const vs let vs var', '4. Double vs triple equal', '5. map() vs filter() vs reduce()', '6. undefined vs null', '7. Data Types', '8. Spread & Rest Operators', '9. Destructuring Objects and Arrays', '10. Git Fundamentals', '11. Agile & Scrum', '12. CSS Selectors', '13. Responsive Design', '14. Number Issues', '15. Promises', '16. Pass by value vs pass by reference', '17. Five questions to be prepared for', '18. Five preparation tips', '19. Got any questions for me?', '20. GitHub tips', '21. LinkedIn tips', '22. Resume tips', '23. Job search strategy']}","['Falsy Values', 'const vs let vs var', 'Double vs triple equal', 'map() vs filter() vs reduce()', 'undefined vs null', 'Data Types', 'Spread & Rest Operators', 'Destructuring Objects and Arrays', ' Git Fundamentals', ' Agile & Scrum', ' CSS Selectors', ' Responsive Design', ' Number Issues', ' Promises', ' Pass by value vs pass by reference', ' Five questions to be prepared for', ' Five preparation tips', ' Got any questions for me?', ' GitHub tips', ' LinkedIn tips', 'Resume tips', 'Job search strategy']",[],"['Before taking this course, you should have a solid understanding of HTML, CSS and JavaScript.']",I teach tens of thousands of students monthly about web development.,"[""If you're looking to become a developer, it's never a bad idea to brush up on your frontend interview skills. This course is the perfect place to do it. Led by our popular teacher, Dylan Israel, you’ll practice technical questions such as "", 'undefined', ' vs ', 'null', ', CSS selectors, promises, data types and double versus triple equal, to help you prepare for the all-important interview. ', ""You'll also get valuable tips on how to polish your GitHub and LinkendIn profiles, and an awesome job search strategy. Let’s get nailing those interviews! "", 'This course is also a part of our hugely popular ', 'Front-End Devloper Career Path', '.']"
26,Learn Flexbox for free,Per Harald Borgen,Course level: Intermediate,This tutorial teaches you CSS Flexbox through 12 interactive screencasts. You'll learn all the key concepts in addition to building a responsive navbar and a neat image grid.,"{'Learn Flexbox for free': ['1. Your first Flexbox layout - Flexbox tutorial', '2. Main axis and cross axis - Flexbox tutorial', '3. Frontend Career Path', '4. Justify Content - Flexbox tutorial', '5. Positioning items - Flexbox tutorial', '6. The flex property - Flexbox tutorial', '7. Align items - Flexbox tutorial', '8. Flex direction column - Flexbox tutorial', '9. Wrapping - Flexbox tutorial', '10. Flex grow, shrink, basis - Flexbox tutorial', '11. Order - Flexbox tutorial', '12. Bonus: Responsive Navbar - Flexbox tutorial', '13. Bonus: Creating a Flexbox image grid - Flexbox tutorial', '14. Congrats & next steps!']}","['Flexbox Basics', 'Main axis', 'Cross axis', 'Justify content', 'Positioning items', 'The flex property', 'Align items', 'Flex direction', 'Wrapping', 'Flex grow, shrink, basis', 'Order', 'Creating Navbar', 'Creating image grid']",[],"['Before taking this course, you should have a basic understanding of HTML and CSS. Here’s our suggested resource to get you up to speed.']","Front-end developer and co-founder of Scrimba. Per loves helping other people learn new skills so that they can improve their lives. He makes his tutorials as simple as humanly possible, and focus on getting the students to the point where they can start building projects on their own.","[""Once you've learned CSS Flexbox, you'll wonder how you ever managed to build websites without it. It gives you all the tools you needed in order to properly arrange content inside flexible containers.  "", ' Given that all websites need to be flexible and responsive these days, Flexbox is a must-have skill for web developers. ', ' ', 'Course content', ' ', "" This course is focused on getting you up to speed as quickly as possible. Even if you only watch the first lectures, you'll be able to take advantage of your new skills in your next project.  "", "" I'll give you several exercises throughout the course, so that you'll be able to get your hands dirty as well. We'll use a navbar as an example layout, as that's a very typical use case for Flexbox.  "", "" In the bonus screencasts, we'll tie everything together and build two real-world examples: an awesome image grid and a fully responsive navbar. You can follow the course creator Per Harald Borgen on Twitter "", 'here.', ' ', '  ', 'Join the Scrimba community chat', ' ', ' Learning alone can be lonely. ', 'Click here', ' to join our Discord server and connect with other Scrimba learners!']"
