,title,level,Prerequisites,Duration,Languages,Course Details,days details
10,Battery Modeling and Algorithm Development with Simulink,"Level: 
Intermediate","['Fundamental knowledge of Simulink, Stateflow and Simscape']","Duration: 
2 days","Languages: 
English, 日本語","
This two-day course focuses on modeling battery packs using Simscape™ and designing key control functionalities of battery management system using Stateflow®.



Topics include:

Perform cell characterization
Modeling battery packs
Adding thermal fidelity to battery models
Design supervisory control logic for battery operation
Perform State-Of-Charge estimation and cell balancing
Compute current limits and design fault diagnostic system
Closed-loop simulation of battery pack with battery management system




","
Day 1 of 2






Getting Started with a Battery Cell



Objective: Define terms used in a battery component. Construct a charging circuit to simulate the CC-CV charging of the cell.

Define battery terms (cell capacity, C-rate, open circuit voltage)
Model battery characteristics using the Battery(table-based) block
Construct charge and discharge circuit with Simscape™




Cell Characterization



Objective: Analyze the equivalent circuit model of a cell. Perform characterization of a given cell.

Equivalent circuit model of a Battery block
Overview of parameter estimation
Perform cell characterization




Battery Pack Modeling



Objective: Connect characterized cells in series configuration to create battery packs. Create thermal environment to perform multi-domain system level simulation

Create battery modules
Model cell degradation and cell inconsistencies
Model cell thermal effects using Simscape™
Add thermal fidelity to the battery module




Day 2 of 2






Battery Management System



Objective: Introduction to battery management system. Develop supervisory control scheme for efficient and safe battery pack operation.

Overview of a battery management system
Design requirements and constraints
Design Stateflow® logic to charge a cell using CC-CV control scheme
Design supervisory control logic of battery management system using Stateflow®
Create test scenarios for battery management system using Simulink Test™




State of Charge Estimation



Objective: Estimate state of charge (SoC) of a cell. Balance charge levels using a passive cell balancing scheme.

Estimate the cell's state of charge using coulomb counting
Estimate the cell's state of charge using extended Kalman Filter
Implement a passive cell balancing network using Simscape™ and Stateflow®




Fault Monitoring and Current Limit Computation



Objective: Compute battery pack's charging and discharging current limits that satisfy design constraints and detect faults during pack operation.

Detect over-voltage/over-current, short circuit, under-voltage/under-current faults during battery operation
Compute current limits for host application
Closed-loop simulation of battery pack with battery management system




Appendix A: Kalman Filter and Extended Kalman Filter



Objective: Use Kalman Filter and Extended Kalman filter blocks from Control System Toolbox™ library to perform state estimation.

Estimate states of discrete-time or continuous-time linear system using Kalman filter
Estimate states of discrete-time nonlinear system using extended Kalman filter



"
11,Building Interactive Applications in MATLAB,"Level: 
Intermediate",['MATLAB Fundamentals'],"Duration: 
1 day","Languages: 
Deutsch, English, 日本語, 한국어","
This one-day course demonstrates how to create an interactive user interface for your applications (apps) in MATLAB®. Attendees will learn about user interface controls, such as push buttons, sliders, and menus, and how to use them to create a robust and user-friendly interface for your MATLAB app. No prior experience of programming graphical interfaces is required. 
Topics include:

Laying out apps in the App Designer environment
Creating callback functions for interactive components
Creating and updating graphical objects in apps
Making app components responsive to user behavior
Creating apps with multiple windows




","
Day 1 of 1






Using the App Designer Environment



Objective: Use App Designer to create and share an app by laying out components and giving them interactive behavior. 

Working in the App Designer interface
Adding callbacks to components
Programming callback functionality
Sharing apps with others




Creating and Updating Plots



Objective: Create apps with graphical elements that can be modified by user interaction, as well as apps with continuously adjustable components.

Using plotting functions within apps
Accessing graphical objects within apps
Programming components to update the app continuously
Sharing callbacks between multiple components
Adding helper and startup functionality




Creating Responsive Components



Objective: Create robust and flexible apps with components that adapt appropriately to user actions.

Adding and using local application data
Working with grouped components
Modifying component properties




Managing Multiple Windows and Apps



Objective: Create apps that use extra dialog windows and helper apps.

Using standard dialog windows
Catching errors
Creating helper apps
Passing application data between apps



"
12,Computer Vision with MATLAB,"Level: 
Intermediate","['MATLAB Fundamentals', 'Image Processing with MATLAB and basic knowledge of image processing and computer vision concepts']","Duration: 
1 day","Languages: 
English, 한국어, 中文","
This one-day course provides hands-on experience with performing computer vision tasks. Examples and exercises demonstrate the use of appropriate MATLAB® and Computer Vision System Toolbox™ functionality.
Topics include:

Importing, displaying, and annotating videos
Detecting objects in videos
Estimating motion of objects
Tracking a single object or multiple objects
Removing lens distortion and measuring planar objects




","
Day 1 of 1






Importing, Visualizing, and Annotating Videos



Objective: Import videos into MATLAB, as well as annotate and visualize them. The focus is on using System Objects™ for performing iterative computations on video frames.

Importing and displaying video files
Highlighting objects by drawing markers and shapes like rectangles
Combining and overlaying two images
Performing iterative computations on video frames




Detecting Objects



Objective: Utilize machine learning and deep learning algorithms for complex object detection.

Marking objects of interest in training images
Training and using a cascade object detector
Using a deep learning object detector




Estimating Motion



Objective: Estimate direction and strength of motion in a video sequence.

Understanding motion perception in images
Estimating motion using optical flow methods




Tracking Objects



Objective: Track single and multiple objects and estimate their trajectory. Handle occlusion by predicting object position.

Tracking single objects using a Kalman Filter
Tracking multiple objects using a GNN tracker




Camera Calibration



Objective: Remove lens distortion from images. Measure size of planar objects.

Estimating intrinsic, extrinsic, and lens distortion parameters of a camera
Visualizing the calibration error
Removing lens distortion
Measuring planar objects in real-world units



"
13,Control System Design with MATLAB and Simulink,"Level: 
Intermediate","['MATLAB Fundamentals', 'Simulink Fundamentals', 'An understanding of terminology and concepts related to common control systems']","Duration: 
2 days","Languages: 
Deutsch, English, 日本語, 한국어","
This course provides a general understanding of how to accelerate the design process for closed-loop control systems using MATLAB® and Simulink®.
Topics include:

Control system design overview
System modeling
System analysis
Control design
Controller implementation




","
Day 1 of 2






Control System Design Overview



Objective: Provide an overview of the control system design process and introduce how MATLAB and Simulink fit into that process. The details of each step in the design process are covered in later chapters.

Defining a control design workflow
Linearizing a model
Finding system characteristics
Setting controller requirements
Tuning controllers
Testing controllers




Model Representations



Objective: Discuss the various formats used for representing system models. Also, highlight the pros and cons of each format.

Model representations overview
LTI objects
Simulink models




Parameter Estimation



Objective: Use measured data to estimate the values of a Simulink model's parameters.

Parameter estimation overview
Model preparation
Estimation process
Parameter estimation tips




System Identification



Objective: Illustrate how to estimate system models based on measured data.

System identification overview
Data importing and preprocessing
Model estimation
Model validation




System Analysis



Objective: Outline the different analysis tools and functions available for understanding system behavior - such as system resonances, transient response, etc.

System analysis functions
Linear System Analyzer
DC motor analysis
Automation of analysis tasks
Open loop analysis




Day 2 of 2






Linearization



Objective: Discuss techniques for linearizing a Simulink model and validating the linearization results.

Linearization workflow
Operating points
Linearization functions
Frequency response estimation




PID Control in Simulink



Objective: Use Simulink to model and tune PID controllers.

PID Workflow
Model setup
PID Controller block
Automatic tuning
Additional PID features




Classical Control Design



Objective: Use classical control design techniques to develop system controllers. Common control techniques are covered, such as PID and lead/lag controllers.

Open-loop tuning
Closed-loop analysis
PID control
Lead-lag control




Response Optimization



Objective: Use optimization techniques to tune model parameters based on design requirements and parameter uncertainty.

Optimizing model response
Performing sensitivity analysis
Optimizing with parameter uncertainty




Controller Implementation



Objective: Discuss steps that might be needed to effectively implement a controller on a real system.

Identifying physical and practical limitations of controllers
Discretizing a controller
Preparing a controller for code generation
Converting to fixed-point data types



"
14,Deep Learning with MATLAB,"Level: 
Intermediate","['MATLAB Fundamentals', 'Deep Learning Onramp']","Duration: 
2 days","Languages: 
English, Français, 日本語, 한국어","
This two-day course provides a comprehensive introduction to practical deep learning using MATLAB®. Attendees will learn how to create, train, and evaluate different kinds of deep neural networks. The instructor-led training uses NVIDIA GPUs to accelerate network training.
Topics include:

Importing image and sequence data
Using convolutional neural networks for image classification, regression, and other image applications
Using long short-term memory networks for sequence classification and forecasting
Modifying common network architectures to solve custom problems
Improving the performance of a network by modifying training options















Deep Learning with MATLAB is endorsed by NVIDIA's Deep Learning Institute. The Deep Learning Institute offers specialized training also powered by GPUs. Check out their industry-specific content and advanced CUDA programming courses.











","
Day 1 of 2






Transfer Learning for Image Classification



Objective: Perform image classification using pretrained networks. Use transfer learning to train customized classification networks.

Pretrained networks
Image datastores
Transfer learning
Network evaluation




Interpreting Network Behavior



Objective: Gain insight into how a network is operating by visualizing image data as it passes through the network. Apply this technique to different kinds of images.

Activations
Feature extraction for machine learning




Creating Networks



Objective: Build convolutional networks from scratch. Understand how information is passed between network layers and how different types of layers work.

Training from scratch
Neural networks
Convolution layers and filters




Training a Network



Objective: Understand how training algorithms work. Set training options to monitor and control training.

Network training
Training progress plots
Validation




Day 2 of 2






Improving Network Performance



Objective: Choose and implement modifications to training algorithm options, network architecture, or training data to improve network performance.

Training options
Directed acyclic graphs
Augmented datastores




Performing Image Regression



Objective: Create convolutional networks that can predict continuous numeric responses.

Transfer learning for regression
Evaluation metrics for regression networks




Using Deep Learning for Computer Vision



Objective: Train networks to locate and label specific objects within images.

Image application workflow
Object detection




Classifying Sequence Data



Objective: Build and train networks to perform classification on ordered sequences of data, such as time series or sensor data.

Long short-term memory networks
Sequence classification
Sequence preprocessing
Categorical sequences




Generating Sequences of Output



Objective: Use recurrent networks to create sequences of predictions.

Sequence to sequence classification
Sequence forecasting



"
15,Design Verification with Simulink,"Level: 
Intermediate","['MATLAB Fundamentals', 'Simulink Fundamentals']","Duration: 
1 day","Languages: 
English, 日本語, 한국어, 中文","
This one-day course focuses on using Simulink Design Verifier™ to ensure that a design is devoid of possible design errors, is fully tested, and satisfies necessary requirements.
Topics include:

Detecting and debugging common design errors
Collecting model coverage
Completing missing coverage using automatic test generation
Proving model properties for requirements-based verification
Handling model complexity for efficient analysis




","
Day 1 of 1






Understanding the Verification Workflow



Objective: Become familiar with the verification workflow and learn to prepare a model and perform a simple analysis with Simulink Design Verifier.

Introducing formal verification methods
Exploring the Simulink Design Verifier workflow
Preparing models and ensuring compatibility
Configuring analysis options
Generating results




Detecting Design Errors



Objective: Learn how to use design error detection to verify a model.

Introducing types of design errors
Detecting design errors
Interpreting results and reporting
Fixing design errors
Using parameter tables




Automatically Generating Tests



Objective: Review coverage types and learn how to use automatic test generation to complete missing model coverage.

Understanding types of coverage
Measuring model coverage
Increasing coverage with automatic test generation
Interpreting results and reporting
Applying custom conditions and objectives




Property Proving



Objective: Formalize requirements into properties and learn to use property proving to verify that a design meets its requirements.

Formalizing requirements
Proving properties
Debugging falsified properties
Using temporal operators




Managing Model Complexity



Objective: Identify sources of model complexity and learn techniques to improve analysis performance.

Identifying sources of model complexity
Implementing block replacements
Handling nonlinearities
Managing lookup table complexity
Working with counters and timers



"
16,Image Processing with MATLAB,"Level: 
Intermediate","['MATLAB Fundamentals', 'Basic knowledge of image processing concepts is strongly recommended']","Duration: 
2 days","Languages: 
English, 日本語, 中文","
This two-day course provides hands-on experience with performing image analysis. Examples and exercises demonstrate the use of appropriate MATLAB® and Image Processing Toolbox™ functionality throughout the analysis process.
Topics include:

Importing and exporting images
Enhancing images
Detecting edges and shapes
Segmenting objects based on their color and texture
Modifying objects' shape using morphological operations
Measuring shape properties
Performing batch analysis over sets of images
Aligning images with image registration
Detecting, extracting, and matching image features




","
Day 1 of 2






Importing and Visualizing Images



Objective: Import and visualize different image types in MATLAB. Manipulate images for streamlining subsequent analysis steps.

Importing, inspecting, and displaying images
Converting between image types
Visualizing results of processing
Exporting images




Preprocessing Images



Objective: Enhance images for analysis by using common preprocessing techniques such as contrast adjustment and noise filtering.

Adjusting contrast
Reducing noise with spatial filtering
Equalizing inhomogeneous background
Processing images in distinct blocks
Measuring image quality




Color and Texture Segmentation



Objective: Segment objects from an image based on color and texture. Use statistical measures to characterize texture features and measure texture similarity between images.

Transforming between image color spaces
Segmenting objects based on color attributes and color difference
Segmenting objects based on texture using nonlinear filters
Analyzing image texture using statistical measures like contrast and correlation




Improving Segmentation



Objective: Improve binary segmentation results by refining the segmentation mask. Use interactive and iterative techniques to segment image regions.

Using morphological operations to refine segmentation masks
Segmenting images and refining results interactively
Using iterative techniques to evolve segmentation from a seed




Day 2 of 2






Finding and Analyzing Objects



Objective: Count and label objects detected in a segmentation. Measure object properties like area, perimeter, and centroids.

Extracting and labeling objects in a segmentation mask
Measuring shape properties
Separating adjacent and overlapping objects with watershed transform




Detecting Edges and Shapes



Objective: Detect edges of objects and extract boundary pixel locations. Detect objects by shapes such as lines and circles.

Detecting object edges
Identifying objects by detecting lines and circles
Performing batch analysis over sets of images




Spatial Transformation and Image Registration



Objective: Compare images with different scales and orientations by geometrically aligning them.

Applying geometric transformations to images
Aligning images using phase correlation
Aligning images using point mapping




Automating Image Registration with Image Features



Objective: Detect, extract, and match sets of image features to automate image registration.

Detecting and extracting features
Matching features to estimate geometric transformation between two images



"
17,Integrating C Code with Simulink,"Level: 
Intermediate","['Simulink Fundamentals\xa0', 'MATLAB Fundamentals\xa0', 'Knowledge of C programming']","Duration: 
1 day","Languages: 
Deutsch, English, 日本語, 한국어","
This one-day course presents multiple methods for integrating C code into Simulink® models. Topics discussed include the C Caller and C Function blocks, Legacy Code Tool for wrapping external C functions into Simulink, and manually written C MEX S-functions. This course is intended for intermediate to advanced Simulink users.



","
Day 1 of 1






Integrating External C Code Using Simulink Blocks
Objective: Integrate C code into Simulink models using the C Caller and C Function blocks.

Integrating algorithmic C code
Integrating C code with custom data types
Integrating code with states
Sharing custom C code blocks

Creating S-Functions from Legacy Code
Objective: Integrate C code into a Simulink model using automated tools.

Calling external C functions with Legacy Code Tool
Handling states
Sharing compiled S-functions

Writing Wrapper S-Functions
Objective: Integrate C code into a Simulink model by manually writing C MEX S-functions.

Writing C MEX S-functions
Calling external code from C MEX S-functions
Work vectors
Debugging C MEX S-functions
Multirate C MEX S-functions

Deploying Integrated C Code
Objective: Explore the procedures and limitations for automatically generating code with Simulink Coder™.

Generating code from C Caller and C Function blocks
Generating code from C MEX S-functions
Function inlining
Integrating target-specific code

C Code Integration Methods Review
Objective: Review code integration methods and discuss the pros and cons of each.

Review of all methods of code integration
How to choose a code integration method

Appendix A: Integrating C++ Code
Objective: Create S-functions that are defined using the C++ language.

Review of work vectors
Unit delay object
Creating a C++ S-function

Appendix B: C Code Integration with the MATLAB® Function Block
Objective: Call external C functions from inside the MATLAB Function block.

Calling external C routines from a MATLAB Function block

Appendix C: Integrating C Code with S-Function Builder
Objective: Create S-functions that call external C code using S-Function Builder.

Writing a C MEX S-function with S-Function Builder
Calling an external C routine with S-Function Builder

Appendix D: Integrating C Code with Stateflow®
Objective: Call external C functions within action and conditions statements in Stateflow charts.

Importing external C code to Stateflow®
Calling C code from C action language charts
Calling C code from MATLAB® action language charts



"
18,Machine Learning with MATLAB,"Level: 
Intermediate",['MATLAB Fundamentals'],"Duration: 
2 days","Languages: 
English, Español, 日本語, 한국어","
This two-day course focuses on data analytics and machine learning techniques in MATLAB® using functionality within Statistics and Machine Learning Toolbox™ and Deep Learning Toolbox™. The course demonstrates the use of unsupervised learning to discover features in large data sets and supervised learning to build predictive models. Examples and exercises highlight techniques for visualization and evaluation of results. 
Topics include:

Organizing and preprocessing data
Clustering data
Creating classification and regression models
Interpreting and evaluating models
Simplifying data sets
Using ensembles to improve model performance




","
Day 1 of 2






Importing and Organizing Data



Objective: Bring data into MATLAB and organize it for analysis, including normalizing data and removing observations with missing values.

Data types
Tables
Categorical data
Data preparation




Finding Natural Patterns in Data



Objective: Use unsupervised learning techniques to group observations based on a set of explanatory variables and discover natural patterns in a data set.

Unsupervised learning
Clustering methods
Cluster evaluation and interpretation




Building Classification Models



Objective: Use supervised learning techniques to perform predictive modeling for classification problems. Evaluate the accuracy of a predictive model.

Supervised learning
Training and validation
Classification methods




Day 2 of 2






Improving Predictive Models



Objective: Reduce the dimensionality of a data set. Improve and simplify machine learning models.

Cross validation
Hyperparameter optimization
Feature transformation
Feature selection
Ensemble learning




Building Regression Models



Objective: Use supervised learning techniques to perform predictive modeling for continuous response variables.

Parametric regression methods
Nonparametric regression methods
Evaluation of regression models




Creating Neural Networks



Objective: Create and train neural networks for clustering and predictive modeling. Adjust network architecture to improve performance.

Clustering with Self-Organizing Maps
Classification with feed-forward networks
Regression with feed-forward networks



"
19,MATLAB for Data Processing and Visualization,"Level: 
Intermediate",['MATLAB Fundamentals'],"Duration: 
1 day","Languages: 
English, 한국어","
This one-day course focuses on importing and preparing data for data analytics applications. The course is intended for data analysts and data scientists who need to automate the processing, analysis, and visualization of data from multiple sources.
Topics include:

Importing data
Processing data
Customizing visualizations
Working with irregular data




","
Day 1 of 1






Importing Data



Objective: Read text files that contain a mixture of data types, delimiters, and headers.

Import a mixture of data types from arbitrarily formatted text files
Import only required columns of data from a text file
Import and merge data from multiple files




Processing Data



Objective: Process raw imported data by extracting, manipulating, aggregating, and counting portions of data.

Process data with missing elements
Create and modify categorical arrays
Aggregate, bin, and count groups of data




Customizing Visualizations



Objective: Annotate and modify standard plots to produce informative customized graphics.

Determine properties of graphics objects and their associated values
Locate and manipulate graphics objects
Customize plots by modifying properties of graphics objects




Working with Irregular Data



Objective: Import and visualize scattered data from text files with irregular formatting.

Parse text files to determine formatting
Import data from separate sections of a text file
Extract data from container variables
Interpolate irregularly spaced three-dimensional data
Visualize three-dimensional data in two and three dimensions



"
20,MATLAB Programming Techniques,"Level: 
Intermediate",['MATLAB Fundamentals'],"Duration: 
2 days","Languages: 
Deutsch, English, Français, 한국어","
This two-day course provides hands-on experience using the features in the MATLAB® language to write efficient, robust, and well-organized code. These concepts form the foundation for writing full applications, developing algorithms, and extending built-in MATLAB capabilities. Details of performance optimization, as well as tools for writing, debugging, and profiling code are covered. 
Topics include:

Structuring data
Managing data efficiently
Utilizing development tools
Structuring code
Creating robust applications
Verifying application behavior




","
Day 1 of 2






Structuring Data



Objective: Explore choices for storing data within a MATLAB application.

Data types
Concatenation and conversion
Cell and structure arrays
Extracting data




Managing Data Efficiently



Objective: Use common techniques for improving performance when storing, accessing, and processing data.

Preallocation
Vectorization
Memory management
Objects and classes




Utilizing Development Tools



Objective: Use integrated tools to manage code, diagnose problems, debug applications, and measure performance.

Managing files with Projects
Finding potential problems in code
Debugging code
Assessing code performance
Using Source Control




Day 2 of 2






Creating Robust Applications



Objective: Create robust applications that withstand unexpected input and produce meaningful errors. Use built-in MATLAB functions and programming constructs, and employ standard techniques for handling error conditions.

Creating flexible function interfaces
Checking for warning and error conditions
Working with the try-catch construct and MException objects




Structuring Code



Objective: Modularize code into readable and maintainable functions. Explore the different function types available in the MATLAB language and the tradeoffs associated with each type. See how function type affects the performance and reliability of the code.

Private functions
Local functions
Nested functions
Function handles
Precedence rules
Comparison of function types




Verifying Application Behavior



Objective: Create tests to verify that code meets requirements.

Writing test scripts
Running test scripts
Using test functions




Appendix A: Creating a Toolbox



Objective: Package code and documentation into a custom toolbox for distribution to other users.

Creating documentation
Packaging the toolbox
Distributing the toolbox



"
21,Object-Oriented Programming with MATLAB,"Level: 
Intermediate",['MATLAB Programming Techniques'],"Duration: 
2 days","Languages: 
Deutsch, English, Français, 한국어","
Attendees will learn to use object-oriented programming techniques to develop and maintain complex MATLAB® applications. In addition, ideas from a test-driven development approach to foster software quality and flexibility are introduced.
Topics include:

Defining robust, intuitive, and reusable custom data types
Creating maintainable and extensible applications via inheritance and aggregation
Making applications reliable and flexible with unit tests
Enabling object synchronization using events and listeners




","
Day 1 of 2






Creating Custom Data Types



Objective: Organize your files into packages. Learn some of the basic techniques and benefits of object-oriented programming and experience the differences between procedural and object-oriented programming.

Creating a namespace by storing multiple files in a package
Encapsulating data and functionality into a single class definition file
Documenting custom data types
Creating and using variables of custom data types




Designing a MATLAB Class



Objective: Make objects reliable by separating interface and implementation. Enhance code maintainability by avoiding code duplication. Customize standard operations for your classes.

Defining safe interactions via data access methods
Designing the public class interface with property and method attributes
Customizing standard operators for your class
Avoiding code duplication through internal refactoring




Building Class Hierarchies



Objective: Relate multiple similar classes via a common superclass. Extend the generic superclass by specializing its behavior in the subclasses.

Creating a superclass via abstraction
Inheriting from a superclass
Defining abstract properties and methods
Implementing specialized behavior in subclasses




Day 2 of 2






Facilitating Multiple References



Objective: Embed one class into another via aggregation. Distinguish the use cases for pass-by-value vs. pass-by-reference behavior. Define a class that exhibits reference behavior.

Creating a viewer class containing a data class
Writing context-sensitive (polymorphic) code
Referencing one data object from multiple viewer objects
Choosing between handle and value classes




Writing Unit Tests



Objective: Guarantee correct behavior by writing formal tests for the corresponding unit of code. Use the unit-testing framework provided within MATLAB. Enhance the quality and flexibility of your software.

Overview of the MATLAB unit testing framework
Writing a test method
Creating a test environment using setup and teardown methods
Parameterizing a test method
Testing for error conditions
Aggregating and running suites of tests




Synchronizing Objects



Objective: Automatically react to property changes using predefined events, listeners, and callbacks. Trigger function calls based on custom events.

Events, listeners, and callbacks
Using predefined property events
Querying class meta information
Defining property listeners
Implementing a callback function
Defining custom events and their callbacks



"
22,Optimization Techniques in MATLAB,"Level: 
Intermediate","['MATLAB Fundamentals', 'Knowledge of linear algebra and multivariate calculus is helpful']","Duration: 
1 day","Languages: 
Deutsch, English, 한국어","
This one-day course introduces applied optimization in the MATLAB® environment, focusing on using Optimization Toolbox™ and Global Optimization Toolbox.
Topics include:

Running optimization problems in MATLAB
Specifying objective functions and constraints
Choosing solvers and improving performance
Global and multiobjective optimization







This program has been approved by GARP and qualifies for 7 GARP CPD credit hours. If you are a Certified FRM or ERP, please record this activity in your credit tracker at https://www.garp.org/cpd.







","
Day 1 of 1






Running an Optimization Problem



Objective: Understand the basic structure and process of solving optimization problems effectively. Use interactive tools to define and solve optimization problems.

Identifying the problem components
Running an optimization using the Live Editor Optimization Task
Applying the optimization process
Using optimization functions




Specifying Objective Functions and Constraints



Objective: Write an optimization problem. Use problem-based workflow to arrive at a solution.

Using the problem-based workflow
Specifying objective functions and constraints
Identifying different types of constraints




Choosing a Solver and Improving Performance



Objective: Select an appropriate solver and algorithm by considering the type of optimization problem to be solved. Interpret the output from the solver and diagnose the progress of an optimization.

Classifying the objective
Choosing a solver and algorithm
Examining and interpreting the result
Providing derivative information




Global and Multiobjective Optimization



Objective: Use Global Optimization Toolbox functionality to solve problems where classical algorithms fail or work inefficiently. Solve problems with many objectives.

Finding the global minimum
Using genetic algorithms, direct search methods and surrogate optimization
Use multiobjective solvers



"
23,Predictive Maintenance with MATLAB,"Level: 
Intermediate",['MATLAB Fundamentals'],"Duration: 
2 days","Languages: 
Deutsch, English, 日本語, 한국어, 中文","
This two-day course focuses on data analytics, signal processing, and machine learning techniques needed for predictive maintenance and condition monitoring workflows. Attendees will learn how to use MATLAB to import data, extract features, and estimate the condition and remaining useful life of equipment.
Topics include:

Importing and organizing data
Unsupervised anomaly detection
Creating supervised fault classification models
Preprocessing to improve data quality
Extracting time and frequency domain features
Estimating Remaining Useful Life (RUL)
Interactive workflows with apps




","
Day 1 of 2






Importing Data and Processing Data



Objective: Bring data into MATLAB and organize it for analysis, including handling missing values. Process raw imported data by extracting and manipulating portions of data.

Store data using MATLAB data types
Import with datastores
Process data with missing elements
Process big data with tall arrays




Finding Natural Patterns in Data



Objective: Use unsupervised learning techniques to group observations based on a set of condition indicators and discover natural patterns in a data set.

Find natural clusters within data
Perform dimensionality reduction
Evaluate and interpret clusters within data




Building Classification Models



Objective: Use supervised learning techniques to perform predictive modelling for classification problems. Evaluate the accuracy of a predictive model.

Classify with the Classification Learner app
Train classification models from labeled data
Validate trained classification models
Improve performance with hyperparameter optimization




Day 2 of 2






Exploring and Analyzing Signals



Objective: Interactively explore and visualize signal processing features in data.

Import, visualize, and browse signals to gain insights
Make measurements on signals
Compare multiple signals in the time and frequency domains
Perform interactive spectral analysis
Extract regions of interest
Generate MATLAB scripts for automation




Preprocessing Signals to Improve Data Set Quality and Generate Features



Objective: Learn techniques to clean signal sets with operations such as resampling, removing outliers, and filling gaps. Interactively generate and rank features.

Use resampling to handle nonuniformly sampled signals
Fill gaps in uniformly sampled signals
Perform resampling to ensure common time base across signals
Use the Signal Analyzer app to design and apply filters
Use File Ensemble Datastore to import data
Use the Diagnostic Feature Designer app to automatically generate and rank features
Perform machinery diagnosis using envelope spectrum
Locate outliers and replace with acceptable samples
Detect changepoints and perform automatic signal segmentation




Estimating Time to Failure



Objective: Explore data to identify features and train decision models to predict remaining useful life.

Select condition indicators
Use lifespan data to estimate remaining useful life using survival models
Use run-to-threshold data to estimate remaining useful life using degradation models
Use run-to-failure data to estimate remaining useful life using similarity models



"
24,Processing Big Data with MATLAB,"Level: 
Intermediate",['MATLAB for Data Processing and Visualization'],"Duration: 
1 day","Languages: 
English, 한국어","
This one-day course focuses on adapting existing algorithms to work with a collection of data files or a single file that is too big to fit in memory. Learn to represent big data in MATLAB®, adjust existing code to work efficiently with it, and scale up the analysis to take advantage of your own computing resources or a cloud. 
Topics include:

Creating datastores to read from data sources
Representing and manipulating big data using tall arrays
Importing custom data formats and applying custom functions to tall arrays
Working with clusters of computers and cloud environments




","
Day 1 of 1






Prototyping Big Data Algorithms



Objective: Applying existing algorithms to data sets that do not fit into memory.

Importing data using datastores
Creating tall arrays
Running algorithms on tall arrays
Optimizing code for tall arrays
Reading data from cloud environments




Handling Custom Data and Algorithms



Objective: Importing custom formatted data and applying algorithms that are not implemented for tall arrays

Importing custom formatted data using file datastores and custom datastores
Partially importing single files
Applying transformations, reductions, and moving window operations to tall arrays




Working with Clusters and Clouds



Objective: Run big data algorithms on a cluster of computers or on cloud environments.

Local and remote clusters
Cluster discovery and connection
Setup of a cluster on a cloud environment
File access considerations



"
25,Reinforcement Learning in MATLAB and Simulink,"Level: 
Intermediate","['MATLAB Fundamentals', 'Simulink Fundamentals ']","Duration: 
1 day","Languages: 
English","
This one-day course introduces reinforcement learning in the MATLAB® and Simulink® environments, focusing on using the Reinforcement Learning Toolbox™. 
Topics include:

Environment and Rewards
Policy and Agent
Neural Networks and Training
Deployment




","
Day 1 of 1






Environment and Rewards
Objective: Set up an environment and shape rewards in Simulink or MATLAB.

Set up environment in Simulink
Write a reward function
Set up an agent using Simulink and MATLAB
Connect agent and environment

Policy and Agent
Objective: Create an policy representation and construct an agent.

Represent a policy with a neural network
Create a reinforcement learning agent in MATLAB
Specify simulation options to run a simulation

Neural Networks and Training
Objective: Assemble a neural network for a policy representation and train an agent.

Assemble a neural network
Deep Network Designer app
Training an agent
Reinforcement Learning Designer app

Deployment
Objective: Generate code from a trained agent.

Generate code
Validation of code



"
