,title,about,lessons,lessons_text,hours,hours_text,price,price_text,Lesson structure,Who is this course for,About the author,What to do after the course
10,Content-Led SEO with Brian Dean,Own the SEO stage and rank high on Google to drive more traffic & sales!,28 lessons,Hands-on videos with actionable steps and relevant examples,4 hours,of on-demand lessons and study materials, 100% free,Use your free Semrush account to get unlimited access to all lessons,"{'Video lessons': 'Watch easy-to-follow video lessons.', ' Read further': 'Study the handpicked materials to dive deeper.', 'Quiz': ""Test what you've learned.""}","This course is designed for people that want to  create content engineered to rank #1 in Google using strategies that are working great right now.

Here you will find a series of in-depth video tutorials, worksheets, and practical tips aimed at helping you reach your SEO goals.
","Brian Dean is an SEO expert and founder of Backlinko, one of the most popular digital marketing resources online (5M+ readers). Brian’s work has been featured in Inc, Fast Company, Entrepreneur, U.S. News & World Report, Success Magazine, Vox, Forbes, Fox News, The Next Web, HuffPost, TechCrunch, and dozens more major media outlets.","['Get certified by Semrush', 'Seize the opportunity to pass the Content-Led SEO exam and earn your personal certificate.', ""If you already have sufficient knowledge of the Brian’s approach to Contend-Led SEO, you can bypass the educational part and test your skills right away by taking the exam. Upon passing it, you'll earn a certificate, which is proof of your mastery."", 'Learn more']"
11,Semrush SEO Crash Course with Brian Dean,Get a tested battle-plan to use for getting more traffic from Google.,5 lessons,Exclusive video lessons from recognized SEO expert Brian Dean,1 hour,Learn exactly how to get more traffic from Google using a tested and proven system., 100% free,Use your free Semrush account to access all of the lessons! ,"{'Video lessons': 'Watch easy-to-follow video lessons.', ' Read further': 'Put your knowledge in practice with our worksheets and additional materials. ', 'Quiz': ""Test what you've learned.""}",,"Brian Dean is an SEO expert and founder of Backlinko, one of the most popular digital marketing resources online (5M+ readers). His work has been featured in Inc., Fast Company, Entrepreneur, U.S. News & World Report, Success Magazine, Vox, Forbes, Fox News, The Next Web, HuffPost, TechCrunch, and dozens more major media outlets.",[]
12,How to Get More Customers with Your Small Business Website with Wes McDowell,Discover exactly what you need to include on your website to attract and engage more prospective customers. This free course from Wes McDowell walks you through the process of structuring your website content to improve conversions.,5 lessons,"Exclusive video lessons from recognized website marketing expert, Wes McDowell",1 hour,Learn how to rank higher and convert more customers in just 1 hour., 100% free,Use your free Semrush account to access all of the lessons!,"{'Video lessons': 'Watch easy-to-follow video lessons.', ' Read further': 'Put your knowledge in practice with our worksheets and additional materials.', 'Quiz': ""Test what you've learned.""}",,"Wes McDowell is a web strategy expert, and his aim is to help small business owners make the most of their websites and digital marketing for maximum client generation. He hosts a popular Youtube channel, where he teaches all his best methods to entrepreneurs around the globe.",[]
13,How to Get Hired as a Digital Marketer Course with Nathan Gotch,"Discover a proven process for becoming a digital marketer at record speed, landing your first job and earning more income in the digital marketing industry.",6 lessons,Exclusive video lessons from recognized SEO expert Nathan Gotch,1 hour,Learn how to become a top 25% digital marketer in only 90 days, 100% free,Use your free Semrush account to access all of the lessons!,"{'Video lessons': 'Watch easy-to-follow video lessons.', ' Read further': 'Put your knowledge in practice with our worksheets and additional materials.', 'Quiz': ""Test what you've learned.""}",,"Nathan Gotch is an SEO expert, a founder of Gotch SEO Academy and The Gotch SEO Agency. He has trained thousands of SEO professionals and has personally led hundreds of successful SEO campaigns. ",[]
14, How to Start Selling on Amazon with Robyn Johnson,"Learn all you need to know to successfully launch products on Amazon with Robyn Johnson - one of the US' leaders on the topic of selling on Amazon.com, who started with $100 and in 4 years grew her business to the seven-figure mark, now focusing on brands generating  $100,000 - 5,000,000 a year in e-commerce.",12 lessons,Exclusive video lessons with Amazon advertising and listing optimization expert Robyn Johnson,1 hour,Learn how to start selling on Amazon in just 1 hour, 100% free,The course is 100% free. Use your free Semrush account to access all the lessons!,"{'Video lessons': 'Watch easy-to-follow video lessons.', ' Read further': 'Study the handpicked materials to dive deeper.', 'Quiz': ""Test what you've learned.""}","If you are thinking about selling products on Amazon, but aren't sure where to start, then this course is for you. Robyn will go over all the basics of selling on Amazon so you can hit the ground running. The course is for people who have just opened an account and it gives them the basics they need to begin selling on the Amazon platform.","Robyn Johnson is a world-renowned Amazon consultant and expert and SEO of Marketplace Blueprint, a marketing agency specializing in marketing on Amazon. She has the trust and respect of the Amazon reseller community for providing no fluff, high-quality, and accurate coaching and coursework for the Amazon marketplace.","['Get certified by Semrush', ""After you've completed the course, you can take the How to Start Selling on Amazon exam and earn a personalized certificate.\n\n"", ""Alternatively, if you feel that you have enough knowledge of selling on Amazon, you can go straight to the exam. Once you pass, you'll earn a certificate as evidence of your proficiency, and you can share your expertise on your CV and LinkedIn profile. \n\n"", 'Learn more']"
15,How to Sell on Amazon: The Ultimate Step-by-Step Guide with Robyn Johnson,"Learn how to get started and successfully launch products on Amazon with Robyn Johnson - one of the US' leaders on the topic of selling on Amazon.com, who started with $100 and in 4 years grew her business to the seven-figure mark, now focusing on brands generating $100,000 - 5,000,000 a year in e-commerce.",12 lessons,Exclusive video lessons with Amazon advertising and listing optimization expert Robyn Johnson,1 hour,Learn Amazon seller best practices in just 1 hour, 100% free,The course is 100% free. Use your free Semrush account to access all the lessons!,"{'Video lessons': 'Watch easy-to-follow video lessons.', ' Read further': 'Study the handpicked materials to dive deeper.', 'Quiz': ""Test what you've learned.""}","This is the course for you if you want to start selling products on Amazon, or are already selling products but aren’t seeing the success you think you should have.","Robyn Johnson is a world-renowned Amazon consultant and expert and SEO of Marketplace Blueprint, a marketing agency specializing in marketing on Amazon.","['Get certified by Semrush', ""After you've completed the course, you can take the How to Sell on Amazon exam and earn a personalized certificate.\n"", ""Alternatively, if you feel that you have enough knowledge of how to sell on Amazon, you can go straight to the exam. Once you pass, you'll earn a certificate as evidence of your proficiency, and you can share your expertise on your CV and LinkedIn profile.\n"", 'Learn more']"
16,Competitor Analysis with Semrush,"Learn how to work out the perfect approach to competitive research by leveraging Semrush's toolkit from a veteran of the digital marketing industry, Navah Hopkins.",7 lessons,Exclusive video lessons with digital marketing veteran Navah Hopkins,1 hour,Learn the ropes of competitive analysis in just 1 hour,100% free,The course is 100% free. Save your money for your future market research activities,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study the specially picked materials to dive deeper into the topic', 'Quiz': 'Test what you’ve learned'}","Whether you’re a marketing team leader, the head of a company, or you’re looking to build a startup and don’t know if it will succeed, this is the course for you — it will provide the tools you need to do your job well.","Navah Hopkins, a veteran in digital marketing, has been helping clients win in SEO and PPC since 2008. She is the Director of Paid Media at Justuno, an integrated agency helping customers own their markets via PPC, SEO, CRO, PR, and content. Navah loves sharing lessons learned at local universities and the international speaking circuit. She is a prolific contributor to SEJ, Semrush, and WordStream blogs and webinars.","['Get certified by Semrush', 'Try to pass the Competitor Analysis exam and earn your personalized certificate.', ""If you already have sufficient skills in competitive research, you can bypass the educational part and test your skills right away by taking the exam. Upon passing it, you'll earn a certificate, proof of your mastery and a valuable addition to your CV and LinkedIn profile."", 'Learn more']"
17,Advanced Competitive Research Practices with Semrush,Learn advanced competitive research techniques from digital marketing expert Navah Hopkins to build your profitability by leveraging Semrush's toolkit.,3 lessons,Exclusive video lessons with digital marketing veteran Navah Hopkins,1 hour,Learn advanced competitive analysis practices in just 1 hour,100% free,The course is 100% free. Save your money for your future market research activities,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study the specially picked materials to dive deeper into the topic', 'Quiz': 'Test what you’ve learned'}","If you’re looking for ways to boost your profitability and learn how to use advanced techniques to make your competitor analysis work harder for you and your business, this is the course for you.","Navah Hopkins, a veteran in digital marketing, has been helping clients win in SEO and PPC since 2008. She is the Director of Paid Media at Justuno, an integrated agency helping customers own their markets via PPC, SEO, CRO, PR, and content. Navah loves sharing lessons learned at local universities and the international speaking circuit. She is a prolific contributor to SEJ, Semrush, and WordStream blogs and webinars.","['Get certified by Semrush', 'Have a go at passing the Advanced Competitor Research Practices exam to earn a personalized certificate.', 'If you’re confident that you already have sufficient skills in competitive research, you can jump straight to taking the exam. Once you pass, you’ll earn a certificate as proof of your advanced practical skills and a valuable addition to your CV and LinkedIn profile.', 'Learn more']"
18,Building a Social Listening Program with Christina Garnett,Build a powerful social listening strategy from scratch through a free course from Christina Garnett. Better understand your target audience and start building long-term relationships.,9 lessons,Exclusive video lessons from recognized Audience Intelligence expert Christina Garnett,2 hours,Learn how to foster mutually beneficial connections with your audience organically in just 2 hours., 100% free,Use your free Semrush account to access all of the lessons!,"{'Video lessons': 'Watch easy-to-follow video lessons.', ' Read further': 'Put your knowledge in practice with our worksheets and additional materials.', 'Quiz': ""Test what you've learned.""}",,"Christina Garnett is a community builder and advocacy strategist, helping brands better connect with their current customers, potential customers, and fans. She has been featured in HubSpot Academy’s Social Media certification course and has spoken at national events like INBOUND19 and Social Fresh 2021.","['Get certified by Semrush', 'Seize the opportunity to pass the Building a Social Listening Program exam and earn your personal certificate.', 'If you already have sufficient knowledge of building a social listening strategy from scratch, you can bypass the educational part and test your skills right away by taking the exam. Upon passing, you’ll earn a certificate, which is proof of your mastery.', 'Learn more']"
19,SMM Fundamentals Course with Neal Schaffer,"Take your brand awareness, engagement and following to the next level with this social media training course!",27 lessons,27 video lessons created in cooperation with prominent industry expert Neal Schaffer,All SMM essentials in 4 hours,"Learn all SMM essentials in just 4 hours. You'll encounter short video lessons, additional materials for self study, and quizzes",100% free,This course is 100% free. You can save your money for various SMM activities,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study the specially picked materials to dive deeper into the topic', 'Quiz': 'Test what you’ve learned'}","Want to discover proven methodologies to grow your social strategy? Then no matter who you are — an SMM newbie, a digital marketing student, a go-to marketer, or even a business owner — this free course is a perfect fit for you. Complete it and you can take your social media marketing to the next level!","Neal Schaffer is a recognized leader who has helped businesses through their digital transformation of sales and marketing as a global keynote speaker, university educator, social media agency owner, author, and social media strategy consultant. From Fortune 50 enterprises to a Grammy Award-Winning musician, Japanese exporters to niche startups and nonprofits, Neal has helped leading brands of all sizes reach their next level in social media marketing. Learn more about Neal at NealSchaffer.com.","['Get certified by Semrush', 'Take and pass the accompanying exam.', ""You'll have an opportunity to prove your SMM mastery by taking the exam, which will be released together with the full version of the course."", 'Learn more']"
20,PPC Automation Course with Navah Hopkins,Learn how to maximize conversions using different types of automation in your PPC campaigns from digital marketing expert Navah Hopkins.,8 lessons,Exclusive video lessons with digital marketing veteran Navah Hopkins,1 hour,Learn PPC automation practices in just 1 hour,100% free,The course is 100% free! Save your money for your future PPC campaigns,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study the specially picked materials to dive deeper into the topic', 'Quiz': 'Test what you’ve learned'}","This is the course for you if you want to start or are already running PPC campaigns or are involved in search marketing. In this course, you will learn how to deliver smarter ad campaigns that maximize conversions on your paid search ads.","Navah Hopkins, a veteran in digital marketing, has been helping clients win in SEO and PPC since 2008. She is the Director of Paid Media at Justuno, an integrated agency helping customers own their markets via PPC, SEO, CRO, PR, and content. Navah loves sharing lessons learned at local universities and on the international speaking circuit. She is a prolific contributor to SEJ, Semrush, and WordStream blogs and webinars.","['Get certified by Semrush', 'After you’ve completed the course, you can take the PPC Automation exam and earn a personalized certificate.', 'Alternatively, if you feel that you have enough knowledge of Pay Per Click automation, you can go straight to the exam. Once you pass, you’ll earn a certificate as evidence of your proficiency, and you can share your expertise on your CV and LinkedIn profile.', 'Learn more']"
21,PPC Fundamentals Course with Joel Bondorowsky,Get to know the basics of PPC from one of the world's most respected advertising specialists.,36 lessons,36 video lessons crafted in cooperation with PPC expert Joel Bondorowsky,5 hours,In just 5 hours you will learn the fundamentals as well as different facets of pay-per-click advertising,100% free,The course is 100% free! Save your money for your future PPC campaigns,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study the specially picked materials to dive deeper into the topic', 'Quiz': 'Test what you’ve learned'}","This course is created for anyone who wants to learn what it takes to become a pay-per-click specialist, or to be able to launch and manage PPC campaigns on their own. It will help you avoid losing money on Google Ads by teaching you how to create effective, successful, and profitable PPC campaigns.","Joel Bondorowsky is the founder of PPC Designs and a total PPC addict with more than 20 years experience under his belt. Throughout his career, Joel has launched advertising campaigns for more than a thousand businesses with an aggregate budget numbering hundreds of millions of dollars.","['Get certified by Semrush', ""After completing the course, you'll have all the necessary knowledge to take and pass the PPC Fundamentals Exam."", ""If you already have reasonable PPC skills, you can bypass the educational part and test yourself right away by taking the exam. Upon passing it, you'll earn a certificate issued by Semrush, which will serve as proof of your knowledge of PPC essentials."", 'Learn more']"
22,Content Marketing Fundamentals Course with Ashley Segura,Dive into the inner workings of content marketing and learn how you can use content to complement and promote your brand in this series of video lessons.,13 lessons,Exclusive video lessons with passionate digital marketer Ashley Segura,2 hours,Become a proficient content marketer in just 2 hours,100% free,The course is 100% free. Save your money for your future marketing activities,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study the specially picked materials to dive deeper into the topic', 'Quiz': 'Test what you’ve learned'}","If you want to embed content marketing in your marketing strategy, but don’t know where to start, take this course on content marketing essentials and you’ll learn how it can enrich and promote your brand online.","Ashley Segura is an international speaker and VP of Operations at TopHatRank, an SEO, content and social media marketing agency. She has worked extensively, both in-house and with multiple agencies, helping clients grow their businesses online. With over 7 years of experience in the digital marketing industry and a journalism/PR background, Ashley brings tons of first-hand experience to marketers and business owners around the world.","['Get certified by Semrush', 'Try to pass the Content Marketing Fundamentals exam and earn your personalized certificate.', ""If you already have decent content marketing knowledge, you can bypass the educational part and test your skills right away by taking the exam. Upon passing it, you'll earn a certificate, proof of your mastery and a valuable addition to your CV and LinkedIn profile."", 'Learn more']"
23,Semrush Advertising Toolkit Course,Learn all there is to know about Semrush's PPC Toolkit from those who created it.,8 lessons,Exclusive video lessons with Semrush Academy head Cole Mercer,2 hours,Become a proficient Semrush PPC user in just 2 hours,100% free,The course is 100% free. Use your free Semrush account to access all of the lessons! ,"{'Video lessons': 'Watch easy-to-follow video lessons', 'Read further': 'Study the handpicked materials to dive deeper.', 'Quiz': ""Test what you've learned.""}","If you want to learn how to use Semrush PPC tools, take this course to watch video tutorials and get practical advice every PPC specialist should know.","The course was prepared by a team of skilled Semrush professionals. To provide you with the most relevant and current knowledge on Semrush PPC tools, we designed it together with the creators of the Advertising Toolkit, who know Semrush tools better than anyone in the world!","['Get certified by Semrush', 'Seize the opportunity to pass the Semrush Certification for PPC Specialists exam and earn your personal certificate.', ""If you already have sufficient knowledge of the Semrush Advertising toolkit, you can bypass the educational part and test your skills right away by taking the exam. Upon passing it, you'll earn a certificate, which is proof of your Semrush Advertising toolkit mastery."", 'Learn more']"
24,Advanced Content Marketing with Brian Dean,"Discover Brian Dean’s behind the scenes process for growing a successful blog in record time. This free course walks you through the steps for growing your blog using cutting edge strategies, tactics, and techniques that are working great right now.",20 lessons,"Exclusive video lessons from recognized SEO expert, Brian Dean",3 hours,Learn exactly how to grow your blog using cutting edge strategies that are working right now in just 3  hours., 100% free,Use your free Semrush account to get unlimited access to all lessons,"{'Video lessons': 'Watch easy-to-follow video lessons.', ' Read further': 'Study the handpicked materials to dive deeper.', 'Quiz': ""Test what you've learned.""}",,"Brian Dean is an SEO expert and founder of Backlinko, one of the most popular digital marketing resources online (5M+ readers). Brian’s work has been featured in Inc, Fast Company, Entrepreneur, U.S. News & World Report, Success Magazine, Vox, Forbes, Fox News, The Next Web, HuffPost, TechCrunch, and dozens more major media outlets.","['Get certified by Semrush', 'Seize the opportunity to pass the Advanced Content Marketing exam and earn your personal certificate.', 'If you already have sufficient knowledge of growing your blog in record time, you can bypass the educational part and test your skills right away by taking the exam. Upon passing, you’ll earn a certificate, which is proof of your mastery.', 'Learn more']"
25,Content and SEO Agency Playbook Course with Andy Crestodina,Grow your marketing agency organically by combining the best content and SEO tactics into a unified strategy. This free course from Andy Crestodina takes you step-by-step through his comprehensive marketing playbook. ,4 lessons,"Exclusive video lessons from recognized content marketing expert, Andy Crestodina",2 hours,"Learn to better communicate content strategy, SEO, and influencer marketing topics in just 2 hours.", 100% free,Use your free Semrush account to access all of the lessons!,"{'Video lessons': 'Watch easy-to-follow video lessons.', ' Read further': 'Put your knowledge in practice with our worksheets and additional materials.', 'Quiz': ""Test what you've learned.""}",,"Andy Crestodina is the co-founder and Chief Marketing Officer of Orbit Media, an award-winning digital agency in Chicago. Over the past 20 years, Andy has provided digital marketing advice to 1000+ businesses and has written 500+ articles on content strategy, search engine optimization, influencer marketing, visitor psychology, and analytics. He was also named in Semrush’s Top 100 Influencers in Content Marketing for 2022.","['Get certified by Semrush', 'Seize the opportunity to pass the Complete Agency Playbook for SEO and Content Strategy exam and earn your personal certificate.', 'If you already have sufficient knowledge of building a sustainable content marketing strategy for your agency, you can bypass the educational part and test your skills right away by taking the exam. Upon passing, you’ll earn a certificate, which is proof of your mastery.', 'Learn more']"
