,title,time_in_hours,no_of_videos,Exercises,no_of_Learners,XP,course-description,what-you-will-learn-lesson-1,what-you-will-learn-lesson-2,what-you-will-learn-lesson-3,what-you-will-learn-lesson-4,collaborators,prerequisities,what-you-will-learn-lesson-5,what-you-will-learn-lesson-6
97,Cleaning Data in R,4,13,44,"31,480",3700,"It's commonly said that data scientists spend 80% of their time cleaning and manipulating data and only 20% of their time analyzing it. The time spent cleaning is vital since analyzing dirty data can lead you to draw inaccurate conclusions.

In this course, you'll learn how to clean dirty data. Using R, you'll learn how to identify values that don't look right and fix dirty data by converting data types, filling in missing values, and using fuzzy string matching. As you learn, you’ll brush up on your skills by working with real-world datasets, including bike-share trips, customer asset portfolios, and restaurant reviews—developing the skills you need to go from raw data to awesome insights as quickly and accurately as possible!","Data type constraints,Common data types,Converting data types,Trimming strings,Range constraints,Ride duration constraints,Back to the future,Uniqueness constraints,Full duplicates,Removing partial duplicates,Aggregating partial duplicates","Uniformity,Date uniformity,Currency uniformity,Cross field validation,Validating totals,Validating age,Completeness,Types of missingness,Visualizing missing data,Treating missing data","Checking membership,Members only,Not a member,Categorical data problems,Identifying inconsistency,Correcting inconsistency,Collapsing categories,Cleaning text data,Detecting inconsistent text data,Replacing and removing,Invalid phone numbers","Comparing strings,Calculating distance,Small distance, small difference,Fixing typos with string distance,Generating and comparing pairs,Link or join?,Pair blocking,Comparing pairs,Scoring and linking,Score then select or select then score?,Putting it together,Congratulations!","Richie Cotton,Adel Nehme,Amy Peterson","Data Scientist,Importing & Cleaning Data,Zagat,Fodor's,Bike Sharing,SFO Satisfaction Survey,Customer Accounts,Joining Data with dplyr",,
98,Streaming Data with AWS Kinesis and Lambda,4,22,56,"3,279",4500,"What powers the systems that we use every day without realizing, like fraud detection to keep our transactions secure or traffic signals that keep traffic flowing smoothly? The answer is streaming data (data that is continuously generated by different sources) and serverless technologies—like Amazon Kinesis and AWS Lambda.

In this course, you’ll learn how to leverage these powerful technologies by helping a fictional data engineer named Cody. Your goal is to help her to collect real-time streaming data from city-owned vehicles, analyze the data, and send relevant alerts like speed warnings to drivers. Using Amazon Kinesis and Firehose, you’ll learn how to ingest data from millions of sources before using Kinesis Analytics to analyze data as it moves through the stream. You’ll also spin up serverless functions in AWS Lambda that will conditionally trigger actions based on the data received. By the end of this training you’ll know how to create live ElasticSearch dashboards with AWS QuickSight and CloudWatch—and hopefully helped Cody complete her ambitious project.","What is streaming and why does it matter?,Batch vs stream,Producers and destinations,Managing Firehose delivery streams,Getting ready for the first stream,Creating roles,IAM users vs. roles,Permissions practice,S3 bucket creation,Working with the Firehose delivery stream,Create your first Firehose stream,Writing to a Firehose stream,Reading Firehose data","A transformational Lambda,Transforming data inside a stream,Encoding and decoding base64,Create a transformational lambda,A barebones transformational lambda,Analyzing data in the stream,Creating a Kinesis data analytics application,Kinesis data analytics  vs transformational Lambda,Building a Kinesis data analytics application,Kinesis data analytics SQL components,Using multiple streams,Delivering data from Kinesis Analytics,Get the daily top speed,Using Kinesis data analytics for alerts","Going serverless,Creating and running Lambda functions,Serverless vs servers,Lambda function components,Reading data from S3 based on an event,Your first live lambda!,Adding a lambda layer,Lambda flow,Using environment variables,Serverless data workflow,Fast vs slow lambdas,A time-triggered lambda,Time-triggered lambda code,Serverless APIs,Create an API lambda,A serverless API","Streaming data case study,Creating an Elasticsearch cluster,RedShift vs Elasticsearch,Monitoring performance,Cloudwatch dasbhoards and alarms,Cloudwatch components,Cloudwatch monitoring flow,Visualizing streaming data,Working with ElasticSearch using Kibana,Cloudwatch vs Elasticsearch,Elasticsearch visualization flow,An alternative approach,Another alternative approach","Hadrien Lacroix,Jen Bricker,Lis Sulmont","Introduction to AWS Boto in Python,Introduction to Shell,Streaming Concepts",,
99,Data Science for Everyone,2,15,48,"326,854",3100,"What is data science, why is it so popular, and why did the Harvard Business Review hail it as the “sexiest job of the 21st century”? In this non-technical course, you’ll be introduced to everything you were ever too afraid to ask about this fast-growing and exciting field, without needing to write a single line of code. Through hands-on exercises, you’ll learn about the different data scientist roles, foundational topics like A/B testing, time series analysis, and machine learning, and how data scientists extract knowledge and insights from real-world data. So don’t be put off by the buzzwords. Start learning, gain skills in this hugely in-demand field, and discover why data science is for everyone!","What is data science?,Customer segmentation workflow,Building a customer service chatbot,Applications of data science,Assigning data science project,Investment research,Data science roles and tools,Editing a job post,Matching skills to jobs,Classifying data tasks","Data preparation,The truth is out there,Are you prepared?,Exploratory Data Analysis,Numerical EDA,Visual EDA,Visualization,Interactive dashboards,Improving a dashboard","Data sources,Sorting data sources,Asthma frequencies,Data types,Classifying data types,Net promoter score,Activity tracker,Data storage and retrieval,Cloud platforms,Querying a database,Which type of database?,Data Pipelines,Data pipeline characteristics,Extract Transform Load","A/B Testing,Creating an A/B testing workflow,Statistical significance,Intermediate results,Time series forecasting,Classifying time series data,Interpret a time series plot,Supervised machine learning,When to use supervised learning,Features and labels,Model Evaluation,Clustering,Supervised vs. unsupervised,Cluster size selection,Congratulations!",,Data Literacy Fundamentals,,
100,Market Basket Analysis in Python,4,15,52,"7,529",4350,"What do Amazon product recommendations and Netflix movie suggestions have in common? They both rely on Market Basket Analysis, which is a powerful tool for translating vast amounts of customer transaction and viewing data into simple rules for product promotion and recommendation. In this course, you’ll learn how to perform Market Basket Analysis using the Apriori algorithm, standard and custom metrics, association rules, aggregation and pruning, and visualization. You’ll then reinforce your new skills through interactive exercises, building recommendations for a small grocery store, a library, an e-book seller, a novelty gift retailer, and a movie streaming service. In the process, you’ll uncover hidden insights to improve recommendations for customers.","What is market basket analysis?,The basics of market basket analysis,Cross-selling products,Identifying association rules,Multiple antecedents and consequents,Preparing data for market basket analysis,Generating association rules,The simplest metric,One-hot encoding transaction data,Computing the support metric","Aggregation,Performing aggregation,Defining an aggregation function,The Apriori algorithm,Pruning and Apriori,Identifying frequent itemsets with Apriori,Selecting a support threshold,Basic Apriori results pruning,Generating association rules,Pruning with lift,Pruning with confidence,Advanced Apriori results pruning,Aggregation and filtering,Applying Zhang's rule,Advanced filtering with multiple metrics","Confidence and lift,Recommending books with support,Refining support with confidence,Further refinement with lift,Leverage and conviction,Lift versus leverage,Computing conviction,Computing conviction with a function,Promoting ebooks with conviction,Association and dissociation,Computing association and dissociation,Defining Zhang's metric,Applying Zhang's metric,Advanced rules,Filtering with support and conviction,Using multi-metric filtering to cross-promote books","Heatmaps,Visualizing itemset support,Heatmaps with lift,Interpreting heatmaps,Scatterplots,Pruning with scatterplots,Optimality of the support-confidence border,Parallel coordinates plot,Using parallel coordinates to visualize rules,Refining a parallel coordinates plot,Congratulations!","Adel Nehme,Amy Peterson","Marketing Analytics,Online Retail dataset,Bookstore Transactions,Movielens Ratings dataset,Data Manipulation with pandas",,
101,Machine Learning for Business,2,15,48,"16,035",3200,"This course will introduce the key elements of machine learning to the business leaders. We will focus on the key insights and base practices how to structure business questions as modeling projects with the machine learning teams. You will understand the different types of models, what kind of business questions they help answer, or what kind of opportunities they can uncover, also learn to identify situations where machine learning should NOT be applied, which is equally important. You will understand the difference between inference and prediction, predicting probability and amounts, and how using unsupervised learning can help build meaningful customer segmentation strategy.","Machine learning and data pyramid,Terminology clarification,Order data pyramid needs,Match tasks in data pyramid,Machine learning principles,Modeling types,Find supervised and unsupervised cases,Job roles, tools and technologies,Job role responsibilities,Match data projects with job roles,Team structure types","Business requirements,Identify situation, opportunity and action,Identify successful experiments,Model training,Model training process,Training, validation and test,Model performance measurement,Poor performance examples,Identify performance metrics,Machine learning risks,Fixing non performing models,Non-actionable models,Identify actionable recommendations","Prediction vs. inference dilemma,Inference and prediction differences,Identify inference vs. prediction use cases,Inference (causal) models,Experiments and causal models,Identify non actionable variables,Prediction models (supervised learning),Supervised modeling principles,Identify classification and regression models,Prediction models (unsupervised learning),Unsupervised modeling use cases,Classification, regression or unsupervised models","Machine learning mistakes,Identify machine learning mistakes,Data needs pyramid,Match ML mistakes by their types,Communication management,Business communication focus,Market testing,Machine learning in production,Production systems,Production systems ML use cases,ML in production launch,Wrap-up","Hadrien Lacroix,Sara Billen",Data Skills for Business,,
102,Introduction to Tableau,6,24,60,"129,775",4750,"Tableau is a widely used business intelligence (BI) and analytics software trusted by companies like Amazon, Experian, and Unilever to explore, visualize, and securely share data in the form of Workbooks and Dashboards. With its user-friendly drag-and-drop functionality it can be used by everyone to quickly clean, analyze, and visualize your team’s data. You’ll learn how to navigate Tableau’s interface and connect and present data using easy-to-understand visualizations. By the end of this training, you’ll have the skills you need to confidently explore Tableau and build impactful data dashboards. Let’s dive in.","Introduction,Connecting to data,Loading data,Loading workbooks,Navigating Tableau,Dimensions and measures,A tour of the interface,New York's neighborhoods prices,Segmenting by room type,Your first visualization,Building and improving visualizations,Building your first visualization,Improving your first visualization,Bringing it all together","Mapping your data,Creating a symbol map,Your first symbol map,More symbol map options,World population,Working with dates,Visualizing dates,Your data by year,Your data by month,Birth seasonality,Reference lines, trend lines, and forecasting,Adding reference lines, trend lines, and forecasting,Reference lines,Trend lines,Forecasting,Natality forecast","Filtering and sorting,Sorting and filtering through selection,Sorting and excluding multiple fields,Comparing G7 countries,Filtering through the filter shelf,Filtering for null values,Top filters on Tableau,Aggregation,Scatter plots and aggregations,CO2 Emissions and GDP in Sub Regions,Counting on GDP per capita,Standard deviation of life expectancy,Calculated fields,Creating calculated fields,Calculated field for rounding,Ratio between genders,Average across genders","Make your data visually appealing,The art of formatting,Applying visual best practices,Create a dual-axis graph,Expanding a dual-axis graph,Formatting your visualization,Dashboards & stories,Worksheet vs. dashboard vs. story,Creating dashboards and stories,Building a dashboard,Filters and dashboards,Creating and navigating a story,Congratulations!",Maarten Van den Broeck,"Tableau Fundamentals,Workbooks and Datasources",,
103,Handling Missing Data with Imputations in R,4,13,49,"3,040",4200,"Missing data is everywhere. The process of filling in missing values is known as imputation, and knowing how to correctly fill in missing data is an essential skill if you want to produce accurate predictions and distinguish yourself from the crowd. In this course, you’ll learn how to use visualizations and statistical tests to recognize missing data patterns and how to impute data using a collection of statistical and machine learning models. You’ll also gain decision-making skills, helping you decide which imputation method fits best in a particular situation. Finally, you’ll learn to incorporate uncertainty from imputation into your inference and predictions, making them more robust and reliable.","Missing data: what can go wrong,Linear regression with incomplete data,Analyzing regression output,Comparing models,Missing data mechanisms,Recognizing missing data mechanisms,t-test for MAR: data preparation,t-test for MAR: interpretation,Visualizing missing data patterns,Aggregation plot,Spine plot,Mosaic plot","Model-based imputation approach,Linear regression imputation,Initializing missing values & iterating over variables,Detecting convergence,Replicating data variability,Logistic regression imputation,Drawing from conditional distribution,Model-based imputation with multiple variable types,Tree-based imputation,Imputing with random forests,Variable-wise imputation errors,Speed-accuracy trade-off","Mean imputation,Smelling the danger of mean imputation,Mean-imputing the temperature,Assessing imputation quality with  margin plot,Hot-deck imputation,Vanilla hot-deck,Hot-deck tricks & tips I: imputing within domains,Hot-deck tricks & tips II: sorting by correlated variables,k-Nearest-Neighbors imputation,Choosing the number of neighbors,kNN tricks & tips I: weighting donors,kNN tricks & tips II: sorting variables","Multiple imputation by bootstrapping,Wrapping imputation & modeling in a function,Running the bootstrap,Bootstrapping confidence intervals,Multiple imputation by chained equations,The mice flow: mice - with - pool,Choosing default models,Using predictor matrix,Putting it all together,Analyzing missing data patterns,Imputing and inspecting outcomes,Inference with imputed data,Final remarks","Adel Nehme,Amy Peterson","Biopics dataset,Tropical Atmosphere Ocean dataset,Multiple and Logistic Regression in R,Dealing With Missing Data in R",,
104,Transactions and Error Handling in PostgreSQL,4,15,49,,3950,"Being able to leverage transactions and find and handle errors is critical to building resilient SQL scripts and working with databases. Transactions provide the protection needed to ensure that your data is consistent and operations work on the desired data in concurrent environments. Improper error handling can cause many serious and unexpected issues. Without the proper use of transactions and error handling, it's possible to make decisions based on incorrect data leading to false outcomes. In this course, we'll cover proper ways to use transactions and handle errors with a record of what went wrong. Additionally, we discuss how concurrently plays into the use of transactions and data outcomes. We'll practice these concepts on the FFEIC bank health data and with a patient data table.","Welcome to Transactions and Error Handling in PostgreSQL,Transaction structure,Making our first transaction,Multiple statement transactions,Transaction sizes and PostgreSQL protections,Using and making transactions,Single statement transactions,Isolation levels,Selecting isolation levels,Using an isolation level,Isolation levels and transactions","Catching exceptions,Writing do statements,Using exception handling wisely,Handling exceptions,Rollbacks, savepoints and exceptions,Multiple exception blocks,Understanding rollbacks and savepoints,Specific exception handling and messages,Capturing specific exceptions,Logging messages on specific exceptions,Graceful exception handling,When to use graceful degradation,Graceful degradation","Handling mistakes,Using rollbacks,Multistatement Rollbacks,Rolling back to a savepoint,Working with a single savepoint,Rolling back with a savepoint,Multiple savepoints and rollback,Multiple savepoints,Savepoints and rolling back,Understanding outcomes,Isolation levels, savepoints, and rollbacks,Working with repeatable read,Isolation levels comparison,Savepoint's effect on isolation levels","Enhancing exception handling with stacked diagnostics,Getting stacked diagnostics,What data is available in stacked diagnostics,Hints to help handle nested exceptions,Capturing a context stack,When to add custom exception logging and recording,Mixing it all together with debugging functions,Creating named functions and declaring variables,Structure of stacked diagnostics function,Putting it all together,Wrapping it up",Amy Peterson,"FFEIC data,Intermediate SQL",,
105,Working with Dates and Times in Python,4,14,48,"37,088",4100,"You'll probably never have a time machine, but how about a machine for analyzing time? As soon as time enters any analysis, things can get weird. It's easy to get tripped up on day and month boundaries, time zones, daylight saving time, and all sorts of other things that can confuse the unprepared. If you're going to do any kind of analysis involving time, you’ll want to use Python to sort it out. Working with data sets on hurricanes and bike trips, we’ll cover counting events, figuring out how much time has elapsed between events and plotting data over time. You'll work in both standard Python and in Pandas, and we'll touch on the dateutil library, the only timezone library endorsed by the official Python documentation. After this course, you'll confidently handle date and time data in any format like a champion.","Dates in Python,Which day of the week?,How many hurricanes come early?,Math with dates,Subtracting dates,Counting events per calendar month,Putting a list of dates in order,Turning dates into strings,Printing dates in a friendly format,Representing dates in different ways","UTC offsets,Creating timezone aware datetimes,Setting timezones,What time did the bike leave in UTC?,Time zone database,Putting the bike trips into the right time zone,What time did the bike leave? (Global edition),Starting daylight saving time,How many hours elapsed around daylight saving?,March 29, throughout a decade,Ending daylight saving time,Finding ambiguous datetimes,Cleaning daylight saving data with fold","Dates and times,Creating datetimes by hand,Counting events before and after noon,Printing and parsing datetimes,Turning strings into datetimes,Parsing pairs of strings as datetimes,Recreating ISO format with strftime(),Unix timestamps,Working with durations,Turning pairs of datetimes into durations,Average trip time,The long and the short of why time is hard","Reading date and time data in Pandas,Loading a csv file in Pandas,Making timedelta columns,Summarizing datetime data in Pandas,How many joyrides?,It's getting cold outside, W20529,Members vs casual riders over time,Combining groupby() and resample(),Additional datetime methods in Pandas,Timezones in Pandas,How long per weekday?,How long between rides?,Wrap-up","Sumedh Panchadhar,Chester Ismay","Data Scientist,Python Programmer,Python Toolbox,Florida Hurricanes,W20529 Bike Data (Capital Bikeshare),Data Manipulation with pandas",,
106,Dimensionality Reduction in Python,4,16,58,"18,796",4700,"High-dimensional datasets can be overwhelming and leave you not knowing where to start. Typically, you’d visually explore a new dataset first, but when you have too many dimensions the classical approaches will seem insufficient. Fortunately, there are visualization techniques designed specifically for high dimensional data and you’ll be introduced to these in this course. After exploring the data, you’ll often find that many features hold little information because they don’t show any variance or because they are duplicates of other features. You’ll learn how to detect these features and drop them from the dataset so that you can focus on the informative ones. In a next step, you might want to build a model on these features, and it may turn out that some don’t have any effect on the thing you’re trying to predict. You’ll learn how to detect and drop these irrelevant features too, in order to reduce dimensionality and thus complexity. Finally, you’ll learn how feature extraction techniques can reduce dimensionality for you through the calculation of uncorrelated principal components.","Introduction,Finding the number of dimensions in a dataset,Removing features without variance,Feature selection vs. feature extraction,Visually detecting redundant features,Advantage of feature selection,t-SNE visualization of high-dimensional data,t-SNE intuition,Fitting t-SNE to the ANSUR data,t-SNE visualisation of dimensionality","Selecting features for model performance,Building a diabetes classifier,Manual Recursive Feature Elimination,Automatic Recursive Feature Elimination,Tree-based feature selection,Building a random forest model,Random forest for feature selection,Recursive Feature Elimination with random forests,Regularized linear regression,Creating a LASSO regressor,Lasso model results,Adjusting the regularization strength,Combining feature selectors,Creating a LassoCV regressor,Ensemble models for extra votes,Combining 3 feature selectors","The curse of dimensionality,Train - test split,Fitting and testing the model,Accuracy after dimensionality reduction,Features with missing values or little variance,Finding a good variance threshold,Features with low variance,Removing features with many missing values,Pairwise correlation,Correlation intuition,Inspecting the correlation matrix,Visualizing the correlation matrix,Removing highly correlated features,Filtering out highly correlated features,Nuclear energy and pool drownings","Feature extraction,Manual feature extraction I,Manual feature extraction II,Principal component intuition,Principal component analysis,Calculating Principal Components,PCA on a larger dataset,PCA explained variance,PCA applications,Understanding the components,PCA for feature exploration,PCA in a model pipeline,Principal Component selection,Selecting the proportion of variance to keep,Choosing the number of components,PCA for image compression,Congratulations!","Chester Ismay,Hadrien Lacroix,Hillary Green-Lerman","Machine Learning Scientist,ANSUR Female,ANSUR Male,Diabetes,Grocery store sales,Boston Public Schools,Pokemon,Supervised Learning with scikit-learn",,
107,Big Data Fundamentals with PySpark,4,16,55,"31,351",4600,"There's been a lot of buzz about Big Data over the past few years, and it's finally become mainstream for many companies. But what is this Big Data? This course covers the fundamentals of Big Data via PySpark. Spark is a ""lightning fast cluster computing"" framework for Big Data. It provides a general data processing platform engine and lets you run programs up to 100x faster in memory, or 10x faster on disk, than Hadoop. You’ll use PySpark, a Python package for Spark programming and its powerful, higher-level libraries such as SparkSQL, MLlib (for machine learning), etc. You will explore the works of William Shakespeare, analyze Fifa 2018 data and perform clustering on genomic datasets. At the end of this course, you will have gained an in-depth understanding of PySpark and its application to general Big Data analysis.","What is Big Data?,The 3 V's of Big Data,PySpark: Spark with Python,Understanding SparkContext,Interactive Use of PySpark,Loading data in PySpark shell,Review of functional programming in Python,Use of lambda() with map(),Use of lambda() with filter()","Abstracting Data with DataFrames,RDD to DataFrame,Loading CSV into DataFrame,Operating on DataFrames in PySpark,Inspecting data in PySpark DataFrame,PySpark DataFrame subsetting and cleaning,Filtering your DataFrame,Interacting with DataFrames using PySpark SQL,Running SQL Queries Programmatically,SQL queries for filtering Table,Data Visualization in PySpark using DataFrames,PySpark DataFrame visualization,Part 1: Create a DataFrame from CSV file,Part 2: SQL Queries on DataFrame,Part 3: Data visualization","Abstracting Data with RDDs,RDDs from Parallelized collections,RDDs from External Datasets,Partitions in your data,Basic RDD Transformations and Actions,Map and Collect,Filter and Count,Pair RDDs in PySpark,ReduceBykey and Collect,SortByKey and Collect,Advanced RDD Actions,CountingBykeys,Create a base RDD and transform it,Remove stop words and reduce the dataset,Print word frequencies","Overview of PySpark MLlib,PySpark ML libraries,PySpark MLlib algorithms,Collaborative filtering,Loading Movie Lens dataset into RDDs,Model training and predictions,Model evaluation using MSE,Classification,Loading spam and non-spam data,Feature hashing and LabelPoint,Logistic Regression model training,Clustering,Loading and parsing the 5000 points data,K-means training,Visualizing clusters,Congratulations!","Chester Ismay,Hadrien Lacroix","Big Data with PySpark,Data Engineer,Complete Shakespeare,Movie ratings,5000 points,FIFA 2018,People,Spam,Ham,Introduction to Python",,
108,Analyzing US Census Data in Python,5,16,57,"3,925",4850,"Data scientists in diverse fields, from marketing to public health to civic hacking, need to work with demographic and socioeconomic data. Government census agencies offer richly detailed, high-quality datasets, but the number of variables and intricacies of administrative geographies (what is a Census tract anyway?) can make approaching this goldmine a daunting process. This course will introduce you to the Decennial Census and the annual American Community Survey, and show you where to find data on household income, commuting, race, family structure, and other topics that may interest you. You will use Python to request this data using the Census API for large and small geographies. You will manipulate the data using pandas, and create derived data such as a measure of segregation. You will also get a taste of the mapping capabilities of geopandas.","Census Subject Tables,Aggregate and Calculate Proportions,Calculate Proportions,Identify Extreme Values,Using the Census API,The Basic API Request,The API Response and Pandas,API to Visualization: Group Quarters,Census Geographies,Specific Places,Congressional Districts by State,Zip Code Tabulation Areas","Measuring Segregation: The Index of Dissimilarity,Calculating D for One State,Calculating D in a Loop,Calculating D Using Grouping in Pandas,Metropolitan Segregation,Joining Tracts and Metropolitan Areas,Create Function to Calculate D,Characteristics of Segregated Metros,Segregation Impacts: Unemployment,Calculating Unemployment,Impacts of Black-White Segregation by Sex,White and Black Unemployment,Neighborhood Segregation Over Time,Tract Demographics in a Segregated City,Segregation Begets More Segregation,Population Decline in Segregated Neighborhoods","Annual Change,Home Values in California,Health Insurance Coverage,Finding ACS Tables by Subject,Margins of Error,Plotting Margins of Error over Time,Significance of Difference of Estimates,Significance of Difference of Proportions,Basic Mapping with Geopandas,Choropleth Map of Internet Access,Proportional Symbol Map of Households w/ Internet,Bivariate Map of Broadband Access,Neighborhood Change,Identifying Gentrifiable Tracts,Identifying Gentrifying Tracts,Mapping Gentrification","Employment and the Labor Force,Unemployment,Labor Force Participation,Commuting,Heatmap of Travel Times By Commute Mode,Worker Population,Migration,Immigration,State-to-State Flows,Is the Rent Too Damn High?,Rent Burden in San Francisco,High Rent and Rent Burden,Congratulations!","Mari Nazary,Adrián Soto","Hispanic Origin & Race by State, 2010,Household Internet Access by State, 2017,Brooklyn Tract Demographics, 2000,Brooklyn Tract Geometries, 2000,Brooklyn Tract Demographics, 2010,Brooklyn Tract Geometries, 2010,Data Manipulation with pandas",,
109,Intermediate Predictive Analytics in Python,4,15,56,"4,028",4350,"Building good models only succeeds if you have a decent base table to start with. In this course you will learn how to construct a good base table, create variables and prepare your data for modeling. We finish with advanced topics on the matter.","The basetable timeline,Timeline violations,Available data,Timeline violation,The population,Select the relevant population,A timeline compliant population,Removing duplicate objects,The target,Calculate an event target,Calculate an aggregated target","Creating dummies,Creating a dummy from a two-category variable,Creating dummies from a many-categories variable,Missing values,How to replace missing values,Creating a missing value dummy,Replace missing values with the median value,Replace missing values with a fixed value,Handling outliers,Influence of outliers on predictive models,Handle outliers with winsorization,Handle outliers with standard deviation,Transformations,Interactions,Square root transformation,Adding interactions to the basetable","Adding fixed variables,Selecting the right value,Adding age,Adding the donor segment,Adding living place,Adding aggregated variables,Selecting the appropriate date,Maximum value last year,Recency of donations,Adding evolutions,Ratio of last month's and last year's average,Absolute difference between two years,Using evolution variables,Performance of evolution variables,Meaning of evolution","Seasonality,Seasonality or not,Detecting seasonality,The effect of seasonality,Using multiple snapshots,Target values,Calculating snapshot targets,Calculating aggregated variables,Stacking basetables,The timegap,Events during the timegap,Calculating aggregated variables with timegap,Adding age with timegap,Congratulations","Lore Dirick,Nick Solomon,Hadrien Lacroix","Donor IDs,Basetable with countries and age,Basetable used in Ex 2.13,Living place of donors,Donations,Introduction to Predictive Analytics in Python",,
110,Defensive R Programming,4,16,51,"3,476",3400,"Writing R scripts is easy. Writing good R code is hard. In this course, we'll discuss defensive programming - a set of standard techniques that will help reduce bugs and aid working in teams. We examine techniques for avoiding common errors and also how to handle the inevitable error that arises in our code. The course will conclude looking at when to make the transition from script to project to package.","Defensive R Programming,Real Programmers...,Don't reinvent the wheel/package,Updating Packages,Out of Date Packages,Task Views,Packages and Namespaces,Number of Loaded Packages,Counting Exported Functions,The Conflicted Package","Preparing your defences,What does DRY mean?,Refactoring: functions,Just one comment,Header comments,A little bit dotty,Use a full stop in variable names,Avoiding the .,Coding Style,Importance of consistent style,Static Code Analysis for R,Code tidying,More linting","Early warning systems,To TRUE or not to T,Let's be evil,If it weren't for those pesky kids,Message in a bottle,Did you get the message?,Suppressing startup messages,Stop being noisy!!!,Using message in practice,You have been warned,Messages vs Warnings,Suppressing warnings,Stop (right now),Warnings vs Stop,Using the stop() function","A battle plan,The importance of consistency,Give me some space,Human readable filenames,What date format should we use?,Organizing a project,Avoiding absolute directories,The input/ directory,Absolute vs relative,Graphics and output,Generating graphics,Graphics/,One final work flow","Richie Cotton,Hadrien Lacroix","R Programmer,Intermediate R",,
111,Feature Engineering in R,4,13,44,"3,826",3500,"Feature engineering helps you uncover useful insights from your machine learning models. The model building process is iterative and requires creating new features using existing variables that make your model more efficient. In this course, you will explore different data sets and apply a variety of feature engineering techniques to both continuous and discrete variables.","Introduction to feature engineering in R,Examples of feature engineering,One-hot encoding,Binning encoding: content driven,Leveraging content knowledge,Converting new categories to numeric,Binning encoding: data driven,Categorical proportions by outcome,Reducing categories using outcome","Box and Yeo transformations,Box-Cox vs. Yeo-Johnson,Box-Cox transformations,Yeo-Johnson transformations,Normalization techniques,Scaling,Mean centering,Caret mean centering,Z-score standardization,Standardization one variable case,Caret standardization","Numerical bucketing or binning,Visualizing the distribution,Creating uniform buckets from a distribution,Binning numerical data using quantiles,Balanced bucketing,Full matrix encoding,Unique attributes of adaptive bucketing,Date and time feature extraction,Converting  string types  to date types,Converting dates,Visualize time features","Feature crossing,How many features to expect,Exploring features visually,Exploring potential crosses,Crossing two categorical features,Principal component analysis,Conduct PCA,PCA results,Interpreting PCA output,Proportion of variance by PCA,Visualizing results with a scree plot,Visualizing components,Wrap-up","Chester Ismay,Amy Peterson",Exploratory Data Analysis in R,,
112,Probability Puzzles in R,4,13,45,"2,861",3750,"Do you want to take your probability skills to the next level? This course will help get you there, using problem-based learning with probability puzzles as the framework. As you are guided through their solutions, you will gain coding tools and general strategies for solving probability problems that you might encounter in many other situations. Organized by theme, the course begins with classic problems like the Birthday Problem and Monty Hall, and ends with puzzles that involve poker like Texas Hold'em and the World Series of Poker!","Introduction to the Course,Writing a simple function,Writing a simple for loop,Setting a seed,The Birthday Problem,Simulation of a single n,Using the pbirthday function,Make a plot,Monty Hall,Win probability with ""stick"",Writing a function to ""switch"",Win probability with ""switch""","Factoring a Quadratic,Which condition will return TRUE?,Write a function to check factorability,Simulate the factorable probability,Four Digit iPhone Passcodes,Four known values,Three known values,Sign Error Cancellations,Simulate sign errors: constant probabilities,Simulate sign errors: changing probabilities","Yahtzee,Probability of a Yahtzee,Probability of a large straight,Probability of a full house,Settlers of Catan,Simulate one game,Simulate 10000 games,Craps,Function to keep rolling when point is established,Function to run one round,Probability of winning the pass line bet","Texas Hold'em,Calculate expected value with one card to come,Two cards to come,Consecutive Cashes,Two consecutive years,Function to evaluate set of five years,Simulate probability for a given set of five years,von Neumann Model of Poker,One round of von Neumann Poker,Function to simulate one round with betting,Simulate many iterations of von Neumann model,Congratulations!","Chester Ismay,Amy Peterson","Intermediate R,Foundations of Probability in R",,
113,Topic Modeling in R,4,14,49,"4,933",3950,"This course introduces students to the areas involved in topic modeling: preparation of corpus, fitting of topic models using Latent Dirichlet Allocation algorithm (in package topicmodels), and visualizing the results using ggplot2 and wordclouds.","Why learn topic modeling,Topics as word contexts,Topic prevalence,Probabilities of words belonging to topics,Counting words,Removal of punctuation marks,Word frequencies,Our first LDA model,Displaying frequencies with ggplot,Simple LDA model","Using topic models as classifiers,Same k, different alpha,Probabilities of words in topics,From word windows to dtm,Regex patterns for entity matching,Making a corpus,From dtm to topic model,Corpus alignment and classification,Train a topic model,Align corpus,Classify test data,Explore the results","Random nature of LDA algorithm,Probabilities of words in topics,Effect of argument alpha,Manipulating the vocabulary,Making a dtm - refresher,Removing stopwords,Keeping the needed words,Word clouds,Wordcloud of term frequency,History of the Byzantine Empire,LDA model fitting - first iteration,Capturing the actions - dtm with verbs,Making a chart,Use wordclouds","Finding the best number of topics,Preparing the dtm,Filtering by word frequency,Fitting one model,Using perplexity to find the best k,Topic models fitted to novels,Generating chunk numbers,Inner join and cast dtm,Finding the best value for k,Locking topics by using seed words,Topics without seedwords,Topics with seedwords,Final words (and more things to learn)","Richie Cotton,Hadrien Lacroix","History Data,Document Corpus,Text Mining with Bag-of-Words in R,Introduction to Natural Language Processing in R",,
